DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,GWB_Lower,38711,7022,29865,1824,0.04711839012167084
2013-01-02,2013,1,1,GWB_Lower,47698,7056,39106,1536,0.0322026080758103
2013-01-03,2013,1,1,GWB_Lower,48676,6978,40251,1447,0.029727175610156958
2013-01-04,2013,1,1,GWB_Lower,48903,7564,39902,1437,0.029384700325133427
2013-01-05,2013,1,1,GWB_Lower,43825,8609,33604,1612,0.036782658300057045
2013-01-06,2013,1,1,GWB_Lower,39699,7244,31120,1335,0.033628051084410186
2013-01-07,2013,1,2,GWB_Lower,49206,6618,41205,1383,0.028106328496524814
2013-01-08,2013,1,2,GWB_Lower,48763,6285,41160,1318,0.027028689785288027
2013-01-09,2013,1,2,GWB_Lower,49822,6485,41861,1476,0.029625466661314277
2013-01-10,2013,1,2,GWB_Lower,50607,6751,42458,1398,0.027624636907937636
2013-01-11,2013,1,2,GWB_Lower,50005,7481,40994,1530,0.030596940305969402
2013-01-12,2013,1,2,GWB_Lower,44069,8244,34192,1633,0.03705552656062085
2013-01-13,2013,1,2,GWB_Lower,41123,7132,32471,1520,0.036962283880067115
2013-01-14,2013,1,3,GWB_Lower,48911,6522,40921,1468,0.030013698350064403
2013-01-15,2013,1,3,GWB_Lower,48665,6407,40881,1377,0.02829548957156067
2013-01-16,2013,1,3,GWB_Lower,46283,5898,39050,1335,0.028844284078387312
2013-01-17,2013,1,3,GWB_Lower,52016,6934,43599,1483,0.028510458320516765
2013-01-18,2013,1,3,GWB_Lower,54505,8444,44343,1718,0.031520044032657554
2013-01-19,2013,1,3,GWB_Lower,44925,8779,34435,1711,0.03808569838619922
2013-01-20,2013,1,3,GWB_Lower,40906,7340,32027,1539,0.03762284261477534
2013-01-21,2013,1,4,GWB_Lower,46325,7364,37528,1433,0.03093362115488397
2013-01-22,2013,1,4,GWB_Lower,50166,6593,42052,1521,0.03031933979189092
2013-01-23,2013,1,4,GWB_Lower,47772,6106,40188,1480,0.030980490663987274
2013-01-24,2013,1,4,GWB_Lower,50904,6789,42606,1509,0.029644035832154643
2013-01-25,2013,1,4,GWB_Lower,48238,7168,39595,1475,0.0305775529665409
2013-01-26,2013,1,4,GWB_Lower,42289,7993,32800,1496,0.035375629596348934
2013-01-27,2013,1,4,GWB_Lower,40901,7039,32384,1478,0.03613603579374587
2013-01-28,2013,1,5,GWB_Lower,45254,5911,37958,1385,0.03060502938966721
2013-01-29,2013,1,5,GWB_Lower,54621,7101,45979,1541,0.028212592226433058
2013-01-30,2013,1,5,GWB_Lower,50231,6421,42306,1504,0.029941669486970197
2013-01-31,2013,1,5,GWB_Lower,53968,7183,45269,1516,0.028090720426919655
2013-02-01,2013,2,5,GWB_Lower,54855,8411,44750,1694,0.030881414638592654
2013-02-02,2013,2,5,GWB_Lower,46856,9208,35964,1684,0.035939900973194466
2013-02-03,2013,2,5,GWB_Lower,39192,6736,30901,1555,0.039676464584609106
2013-02-04,2013,2,6,GWB_Lower,50897,6883,42464,1550,0.03045366131599112
2013-02-05,2013,2,6,GWB_Lower,48776,6401,41012,1363,0.027944070854518617
2013-02-06,2013,2,6,GWB_Lower,51890,6769,43751,1370,0.026402004239737906
2013-02-07,2013,2,6,GWB_Lower,57768,7799,48446,1523,0.026364076997645754
2013-02-08,2013,2,6,GWB_Lower,33150,4720,27258,1172,0.03535444947209653
2013-02-09,2013,2,6,GWB_Lower,19071,3851,14504,716,0.03754391484452834
2013-02-10,2013,2,6,GWB_Lower,35394,6133,28023,1238,0.03497767983274001
2013-02-11,2013,2,7,GWB_Lower,47789,6304,39991,1494,0.03126242440729038
2013-02-12,2013,2,7,GWB_Lower,51761,6803,43527,1431,0.02764629740538243
2013-02-13,2013,2,7,GWB_Lower,52919,7041,44382,1496,0.028269619607324402
2013-02-14,2013,2,7,GWB_Lower,54265,7628,45058,1579,0.02909794526858933
2013-02-15,2013,2,7,GWB_Lower,59701,9625,48169,1907,0.031942513525736585
2013-02-16,2013,2,7,GWB_Lower,46745,9473,35587,1685,0.03604663600385068
2013-02-17,2013,2,7,GWB_Lower,45364,8484,35251,1629,0.03590953178732034
2013-02-18,2013,2,8,GWB_Lower,56102,9681,44760,1661,0.029606787636804393
2013-02-19,2013,2,8,GWB_Lower,54800,7611,45592,1597,0.029142335766423357
2013-02-20,2013,2,8,GWB_Lower,52602,7106,44047,1449,0.027546481122390783
2013-02-21,2013,2,8,GWB_Lower,55099,7640,45853,1606,0.029147534438011578
2013-02-22,2013,2,8,GWB_Lower,54420,8530,44191,1699,0.03122013965453877
2013-02-23,2013,2,8,GWB_Lower,44399,8759,33907,1733,0.03903241063987928
2013-02-24,2013,2,8,GWB_Lower,46478,8211,36614,1653,0.03556521364946857
2013-02-25,2013,2,9,GWB_Lower,50488,6986,42008,1494,0.029591189985739185
2013-02-26,2013,2,9,GWB_Lower,51898,6878,43684,1336,0.025742803190874408
2013-02-27,2013,2,9,GWB_Lower,52277,6785,44016,1476,0.028234213899037817
2013-02-28,2013,2,9,GWB_Lower,52223,7420,43489,1314,0.025161327384485763
2013-03-01,2013,3,9,GWB_Lower,54400,9002,43883,1515,0.027849264705882355
2013-03-02,2013,3,9,GWB_Lower,48064,10267,36345,1452,0.03020972037283622
2013-03-03,2013,3,9,GWB_Lower,48634,8804,38066,1764,0.03627092157749722
2013-03-04,2013,3,10,GWB_Lower,57674,8119,47845,1710,0.02964940874570864
2013-03-05,2013,3,10,GWB_Lower,55527,7343,46639,1545,0.027824301691069208
2013-03-06,2013,3,10,GWB_Lower,51596,6789,43392,1415,0.02742460655864796
2013-03-07,2013,3,10,GWB_Lower,49162,6549,41222,1391,0.02829421097595704
2013-03-08,2013,3,10,GWB_Lower,47587,7069,38833,1685,0.035408830142686025
2013-03-09,2013,3,10,GWB_Lower,50986,9983,39065,1938,0.038010434236849334
2013-03-10,2013,3,10,GWB_Lower,48603,8641,38195,1767,0.03635578050737609
2013-03-11,2013,3,11,GWB_Lower,53463,7300,44585,1578,0.029515739857471524
2013-03-12,2013,3,11,GWB_Lower,52910,7076,44468,1366,0.025817425817425816
2013-03-13,2013,3,11,GWB_Lower,58218,8144,48674,1400,0.02404754543268405
2013-03-14,2013,3,11,GWB_Lower,58524,8341,48732,1451,0.024793247214817852
2013-03-15,2013,3,11,GWB_Lower,59539,9785,48377,1377,0.0231276978115185
2013-03-16,2013,3,11,GWB_Lower,52054,10763,39732,1559,0.02994966765282207
2013-03-17,2013,3,11,GWB_Lower,50418,9293,39319,1806,0.03582054028323218
2013-03-18,2013,3,12,GWB_Lower,51036,6978,42560,1498,0.02935183008072733
2013-03-19,2013,3,12,GWB_Lower,51157,7000,42886,1271,0.024845084739136384
2013-03-20,2013,3,12,GWB_Lower,56760,7849,47470,1441,0.025387596899224808
2013-03-21,2013,3,12,GWB_Lower,58163,8240,48479,1444,0.024826779911627666
2013-03-22,2013,3,12,GWB_Lower,58675,9718,47547,1410,0.024030677460587985
2013-03-23,2013,3,12,GWB_Lower,52571,10832,40181,1558,0.029636111163949708
2013-03-24,2013,3,12,GWB_Lower,50710,9275,39551,1884,0.0371524354170775
2013-03-25,2013,3,13,GWB_Lower,50585,6946,42255,1384,0.027359889295245625
2013-03-26,2013,3,13,GWB_Lower,54142,8031,44877,1234,0.022791917550145913
2013-03-27,2013,3,13,GWB_Lower,60980,9339,50181,1460,0.02394227615611676
2013-03-28,2013,3,13,GWB_Lower,64215,10187,52451,1577,0.024558125048664642
2013-03-29,2013,3,13,GWB_Lower,60694,11236,47517,1941,0.03198009687942795
2013-03-30,2013,3,13,GWB_Lower,52955,10894,40080,1981,0.03740912095175149
2013-03-31,2013,3,13,GWB_Lower,55099,10017,43259,1823,0.03308589992558848
2013-04-01,2013,4,14,GWB_Lower,59110,8842,48601,1667,0.028201657925900864
2013-04-02,2013,4,14,GWB_Lower,54278,7649,45114,1515,0.02791186115921736
2013-04-03,2013,4,14,GWB_Lower,61104,8333,51249,1522,0.024908352971982194
2013-04-04,2013,4,14,GWB_Lower,61078,8990,50637,1451,0.02375650807164609
2013-04-05,2013,4,14,GWB_Lower,59521,9796,48237,1488,0.024999579980175064
2013-04-06,2013,4,14,GWB_Lower,54963,11183,42121,1659,0.030183941924567435
2013-04-07,2013,4,14,GWB_Lower,49242,9530,38302,1410,0.028634092847569147
2013-04-08,2013,4,15,GWB_Lower,55389,7863,45587,1939,0.035006950838614166
2013-04-09,2013,4,15,GWB_Lower,57258,8146,47467,1645,0.028729609836180097
2013-04-10,2013,4,15,GWB_Lower,56783,7403,47636,1744,0.030713417748269727
2013-04-11,2013,4,15,GWB_Lower,58374,7722,48919,1733,0.029687874738753554
2013-04-12,2013,4,15,GWB_Lower,56933,8392,46648,1893,0.033249609189749355
2013-04-13,2013,4,15,GWB_Lower,54579,10670,41857,2052,0.03759687792007915
2013-04-14,2013,4,15,GWB_Lower,50464,10221,38920,1323,0.02621670894102727
2013-04-15,2013,4,16,GWB_Lower,55581,7569,46333,1679,0.030208164660585454
2013-04-16,2013,4,16,GWB_Lower,58468,7837,48995,1636,0.027981117876445236
2013-04-17,2013,4,16,GWB_Lower,57628,7758,48223,1647,0.028579857013951552
2013-04-18,2013,4,16,GWB_Lower,61570,8716,51333,1521,0.024703589410427156
2013-04-19,2013,4,16,GWB_Lower,61754,10197,50053,1504,0.0243546976714059
2013-04-20,2013,4,16,GWB_Lower,56081,11565,42938,1578,0.028137872006561936
2013-04-21,2013,4,16,GWB_Lower,51630,9947,40314,1369,0.02651559171024598
2013-04-22,2013,4,17,GWB_Lower,55017,7517,45858,1642,0.029845320537288476
2013-04-23,2013,4,17,GWB_Lower,55563,7582,46655,1326,0.023864802116516388
2013-04-24,2013,4,17,GWB_Lower,58474,8154,48856,1464,0.025036768478298048
2013-04-25,2013,4,17,GWB_Lower,63356,9185,52603,1568,0.024749037186691077
2013-04-26,2013,4,17,GWB_Lower,63089,10612,50842,1635,0.02591576978554106
2013-04-27,2013,4,17,GWB_Lower,56253,11724,42825,1704,0.030291717775051998
2013-04-28,2013,4,17,GWB_Lower,52611,9920,41275,1416,0.02691452357871928
2013-04-29,2013,4,18,GWB_Lower,55855,7554,46518,1783,0.03192194073941455
2013-04-30,2013,4,18,GWB_Lower,58113,7792,48687,1634,0.028117632887649922
2013-05-01,2013,5,18,GWB_Lower,57485,7659,48153,1673,0.02910324432460642
2013-05-02,2013,5,18,GWB_Lower,59151,7924,49467,1760,0.02975435749184291
2013-05-03,2013,5,18,GWB_Lower,61231,9246,50001,1984,0.03240188793258317
2013-05-04,2013,5,18,GWB_Lower,53810,10305,41319,2186,0.040624419252926966
2013-05-05,2013,5,18,GWB_Lower,53850,10111,42324,1415,0.02627669452181987
2013-05-06,2013,5,19,GWB_Lower,55655,7596,46355,1704,0.030617195220555206
2013-05-07,2013,5,19,GWB_Lower,55881,7391,46882,1608,0.028775433510495517
2013-05-08,2013,5,19,GWB_Lower,54764,7089,46097,1578,0.028814549704185233
2013-05-09,2013,5,19,GWB_Lower,58845,7716,49503,1626,0.02763191435126179
2013-05-10,2013,5,19,GWB_Lower,63523,9681,51690,2152,0.03387749319144247
2013-05-11,2013,5,19,GWB_Lower,53154,8969,42180,2005,0.037720585468638296
2013-05-12,2013,5,19,GWB_Lower,63513,11339,50034,2140,0.03369388943995717
2013-05-13,2013,5,20,GWB_Lower,57030,7860,47501,1669,0.029265298965456776
2013-05-14,2013,5,20,GWB_Lower,52471,7252,43871,1348,0.025690381353509557
2013-05-15,2013,5,20,GWB_Lower,51480,7436,42809,1235,0.023989898989898988
2013-05-16,2013,5,20,GWB_Lower,55131,8148,45560,1423,0.025811249569207887
2013-05-17,2013,5,20,GWB_Lower,62334,10104,50448,1782,0.028587929540860525
2013-05-18,2013,5,20,GWB_Lower,56515,11594,43076,1845,0.03264620012386092
2013-05-19,2013,5,20,GWB_Lower,56123,10210,43940,1973,0.03515492756980204
2013-05-20,2013,5,21,GWB_Lower,60979,8821,50383,1775,0.029108381573984488
2013-05-21,2013,5,21,GWB_Lower,59368,8534,49311,1523,0.025653550734402373
2013-05-22,2013,5,21,GWB_Lower,59924,8464,49950,1510,0.025198584874173955
2013-05-23,2013,5,21,GWB_Lower,62243,9124,51580,1539,0.024725671963112317
2013-05-24,2013,5,21,GWB_Lower,59011,10185,47157,1669,0.02828286251715782
2013-05-25,2013,5,21,GWB_Lower,48130,9929,36331,1870,0.03885310617078745
2013-05-26,2013,5,21,GWB_Lower,54314,10585,41540,2189,0.040302684390764815
2013-05-27,2013,5,22,GWB_Lower,55867,10985,42539,2343,0.04193889057941182
2013-05-28,2013,5,22,GWB_Lower,58455,7840,48788,1827,0.031254811393379524
2013-05-29,2013,5,22,GWB_Lower,55786,7788,46546,1452,0.026028035707883698
2013-05-30,2013,5,22,GWB_Lower,58607,8305,48699,1604,0.027368744347944785
2013-05-31,2013,5,22,GWB_Lower,60069,9619,48420,2030,0.03379446969318617
2013-06-01,2013,6,22,GWB_Lower,59132,11221,45412,2500,0.04227829263343029
2013-06-02,2013,6,22,GWB_Lower,59492,10967,46254,2271,0.03817319975795065
