DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,GWB_PIP,16176,1928,13773,475,0.029364490603363005
2013-01-02,2013,1,1,GWB_PIP,19662,1963,17213,486,0.02471772963075984
2013-01-03,2013,1,1,GWB_PIP,20228,1841,17930,457,0.022592446114297015
2013-01-04,2013,1,1,GWB_PIP,19331,1929,16969,433,0.022399255082509957
2013-01-05,2013,1,1,GWB_PIP,17356,1964,14951,441,0.02540908043327956
2013-01-06,2013,1,1,GWB_PIP,17424,1782,15220,422,0.024219467401285583
2013-01-07,2013,1,2,GWB_PIP,18610,1633,16517,460,0.024717893605588393
2013-01-08,2013,1,2,GWB_PIP,20168,1649,18049,470,0.023304244347481157
2013-01-09,2013,1,2,GWB_PIP,20080,1760,17865,455,0.022659362549800798
2013-01-10,2013,1,2,GWB_PIP,20672,1730,18461,481,0.023268188854489166
2013-01-11,2013,1,2,GWB_PIP,19693,1881,17330,482,0.024475702026100644
2013-01-12,2013,1,2,GWB_PIP,17120,2027,14578,515,0.03008177570093458
2013-01-13,2013,1,2,GWB_PIP,17397,1789,15160,448,0.02575156636201644
2013-01-14,2013,1,3,GWB_PIP,18908,1593,16816,499,0.02639094563147874
2013-01-15,2013,1,3,GWB_PIP,20448,1720,18276,452,0.022104851330203443
2013-01-16,2013,1,3,GWB_PIP,18508,1532,16466,510,0.027555651610114546
2013-01-17,2013,1,3,GWB_PIP,20521,1756,18298,467,0.022757175576238974
2013-01-18,2013,1,3,GWB_PIP,19870,2021,17389,460,0.02315047810770005
2013-01-19,2013,1,3,GWB_PIP,17957,2094,15367,496,0.027621540346383026
2013-01-20,2013,1,3,GWB_PIP,18126,2000,15622,504,0.027805362462760674
2013-01-21,2013,1,4,GWB_PIP,20216,2028,17733,455,0.022506925207756233
2013-01-22,2013,1,4,GWB_PIP,19705,1772,17432,501,0.025425019030702867
2013-01-23,2013,1,4,GWB_PIP,20301,1691,18132,478,0.023545638145904144
2013-01-24,2013,1,4,GWB_PIP,20749,1842,18347,560,0.026989252494096103
2013-01-25,2013,1,4,GWB_PIP,18743,1831,16455,457,0.024382436109480873
2013-01-26,2013,1,4,GWB_PIP,17002,2010,14478,514,0.030231737442653804
2013-01-27,2013,1,4,GWB_PIP,18523,2035,15973,515,0.0278032716082708
2013-01-28,2013,1,5,GWB_PIP,18029,1498,16087,444,0.024626989849686615
2013-01-29,2013,1,5,GWB_PIP,19116,1645,16959,512,0.02678384599288554
2013-01-30,2013,1,5,GWB_PIP,19914,1669,17764,481,0.024153861604901076
2013-01-31,2013,1,5,GWB_PIP,19550,1797,17239,514,0.02629156010230179
2013-02-01,2013,2,5,GWB_PIP,19867,2065,17327,475,0.023908994815523228
2013-02-02,2013,2,5,GWB_PIP,17786,2142,15154,490,0.027549758236815474
2013-02-03,2013,2,5,GWB_PIP,16585,1745,14408,432,0.026047633403678022
2013-02-04,2013,2,6,GWB_PIP,19398,1707,17192,499,0.0257243014743788
2013-02-05,2013,2,6,GWB_PIP,19607,1653,17472,482,0.024583057071454074
2013-02-06,2013,2,6,GWB_PIP,19765,1688,17601,476,0.024082974955729825
2013-02-07,2013,2,6,GWB_PIP,20886,1889,18467,530,0.02537584985157522
2013-02-08,2013,2,6,GWB_PIP,10934,872,9733,329,0.030089628681177975
2013-02-09,2013,2,6,GWB_PIP,7087,800,6036,251,0.03541696063214336
2013-02-10,2013,2,6,GWB_PIP,15455,1615,13450,390,0.025234551924943383
2013-02-11,2013,2,7,GWB_PIP,17472,1515,15485,472,0.027014652014652016
2013-02-12,2013,2,7,GWB_PIP,20086,1761,17828,497,0.024743602509210396
2013-02-13,2013,2,7,GWB_PIP,20338,1752,18091,495,0.024338676369357853
2013-02-14,2013,2,7,GWB_PIP,20583,1849,18233,501,0.024340475149395132
2013-02-15,2013,2,7,GWB_PIP,20799,2321,17942,536,0.025770469734121833
2013-02-16,2013,2,7,GWB_PIP,17757,2320,14943,494,0.02782001464211297
2013-02-17,2013,2,7,GWB_PIP,18082,2156,15419,507,0.028038933746267005
2013-02-18,2013,2,8,GWB_PIP,18917,2060,16388,469,0.024792514669345032
2013-02-19,2013,2,8,GWB_PIP,19432,1715,17227,490,0.02521613832853026
2013-02-20,2013,2,8,GWB_PIP,20305,1779,18056,470,0.023147008126077322
2013-02-21,2013,2,8,GWB_PIP,19511,1770,17311,431,0.0220901030188099
2013-02-22,2013,2,8,GWB_PIP,20062,2134,17448,480,0.0239258299272256
2013-02-23,2013,2,8,GWB_PIP,16273,2047,13766,460,0.02826768266453635
2013-02-24,2013,2,8,GWB_PIP,18441,2111,15866,464,0.02516132530773819
2013-02-25,2013,2,9,GWB_PIP,19751,1728,17559,464,0.023492481393347173
2013-02-26,2013,2,9,GWB_PIP,18842,1622,16791,429,0.022768283621696212
2013-02-27,2013,2,9,GWB_PIP,19040,1630,16930,480,0.025210084033613446
2013-02-28,2013,2,9,GWB_PIP,20668,1884,18310,474,0.02293400425778982
2013-03-01,2013,3,9,GWB_PIP,20055,2137,17400,518,0.02582897033158813
2013-03-02,2013,3,9,GWB_PIP,18811,2468,15840,503,0.02673967359523683
2013-03-03,2013,3,9,GWB_PIP,20006,2337,17169,500,0.024992502249325203
2013-03-04,2013,3,10,GWB_PIP,18649,1722,16490,437,0.023432891844066706
2013-03-05,2013,3,10,GWB_PIP,19034,1792,16794,448,0.02353682883261532
2013-03-06,2013,3,10,GWB_PIP,17619,1587,15666,366,0.02077302911629491
2013-03-07,2013,3,10,GWB_PIP,18376,1557,16377,442,0.024053112755768394
2013-03-08,2013,3,10,GWB_PIP,15838,1592,13858,388,0.02449804268215684
2013-03-09,2013,3,10,GWB_PIP,18161,2448,15282,431,0.02373217333847255
2013-03-10,2013,3,10,GWB_PIP,20104,2352,17206,546,0.027158774373259052
2013-03-11,2013,3,11,GWB_PIP,19581,1715,17359,507,0.025892446759613913
2013-03-12,2013,3,11,GWB_PIP,17878,1598,15916,364,0.020360219263899765
2013-03-13,2013,3,11,GWB_PIP,19602,1769,17455,378,0.01928374655647383
2013-03-14,2013,3,11,GWB_PIP,20088,1923,17745,420,0.02090800477897252
2013-03-15,2013,3,11,GWB_PIP,19623,2054,17182,387,0.019721755083320594
2013-03-16,2013,3,11,GWB_PIP,16758,2118,14237,403,0.024048215777539086
2013-03-17,2013,3,11,GWB_PIP,18183,2119,15609,455,0.025023373480723754
2013-03-18,2013,3,12,GWB_PIP,18799,1651,16696,452,0.024043832118729718
2013-03-19,2013,3,12,GWB_PIP,16592,1427,14772,393,0.023686113789778206
2013-03-20,2013,3,12,GWB_PIP,18434,1733,16309,392,0.021265053705110122
2013-03-21,2013,3,12,GWB_PIP,19166,1732,17028,406,0.021183345507669833
2013-03-22,2013,3,12,GWB_PIP,18721,1987,16327,407,0.021740291651087016
2013-03-23,2013,3,12,GWB_PIP,17508,2287,14777,444,0.025359835503769704
2013-03-24,2013,3,12,GWB_PIP,17662,2128,15070,464,0.0262710904767297
2013-03-25,2013,3,13,GWB_PIP,19506,1784,17292,430,0.02204449912847329
2013-03-26,2013,3,13,GWB_PIP,18552,1751,16381,420,0.022639068564036222
2013-03-27,2013,3,13,GWB_PIP,17535,1736,15451,348,0.01984602224123182
2013-03-28,2013,3,13,GWB_PIP,20317,2153,17734,430,0.021164542009154894
2013-03-29,2013,3,13,GWB_PIP,16305,2461,13444,400,0.024532352039251762
2013-03-30,2013,3,13,GWB_PIP,18003,2560,14929,514,0.028550797089373994
2013-03-31,2013,3,13,GWB_PIP,20583,2580,17469,534,0.025943739979594812
2013-04-01,2013,4,14,GWB_PIP,18085,1802,15905,378,0.02090129941940835
2013-04-02,2013,4,14,GWB_PIP,17514,1664,15519,331,0.01889916638118077
2013-04-03,2013,4,14,GWB_PIP,19055,1797,16811,447,0.023458409866176855
2013-04-04,2013,4,14,GWB_PIP,19567,1864,17280,423,0.021618030357234117
2013-04-05,2013,4,14,GWB_PIP,19884,2187,17270,427,0.02147455240394287
2013-04-06,2013,4,14,GWB_PIP,18748,2512,15761,475,0.02533603584382334
2013-04-07,2013,4,14,GWB_PIP,20546,2378,17526,642,0.031246958045361626
2013-04-08,2013,4,15,GWB_PIP,19367,1747,17139,481,0.02483606134145712
2013-04-09,2013,4,15,GWB_PIP,19785,1895,17432,458,0.023148850138994186
2013-04-10,2013,4,15,GWB_PIP,18964,1685,16824,455,0.023992828517190465
2013-04-11,2013,4,15,GWB_PIP,18756,1736,16603,417,0.022232885476647472
2013-04-12,2013,4,15,GWB_PIP,18193,1991,15838,364,0.020007695267410544
2013-04-13,2013,4,15,GWB_PIP,18229,2397,15376,456,0.025015085852213508
2013-04-14,2013,4,15,GWB_PIP,20069,2340,17165,564,0.02810304449648712
