DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,GWB_Upper,55063,17610,36548,905,0.016435719085411256
2013-01-02,2013,1,1,GWB_Upper,57837,13023,43532,1282,0.02216574165326694
2013-01-03,2013,1,1,GWB_Upper,59449,12114,46038,1297,0.021817019630271325
2013-01-04,2013,1,1,GWB_Upper,60695,13161,46374,1160,0.019111953208666283
2013-01-05,2013,1,1,GWB_Upper,59268,16549,41717,1002,0.01690625632719174
2013-01-06,2013,1,1,GWB_Upper,54050,15694,37499,857,0.01585568917668825
2013-01-07,2013,1,2,GWB_Upper,53989,11095,41777,1118,0.020707921984107872
2013-01-08,2013,1,2,GWB_Upper,57698,10752,45818,1129,0.019567402682935282
2013-01-09,2013,1,2,GWB_Upper,57095,10588,45341,1167,0.020439618180225938
2013-01-10,2013,1,2,GWB_Upper,59148,11228,46722,1200,0.02028809089064719
2013-01-11,2013,1,2,GWB_Upper,60060,12573,46254,1234,0.020546120546120546
2013-01-12,2013,1,2,GWB_Upper,59069,16302,41732,1035,0.017521881189794985
2013-01-13,2013,1,2,GWB_Upper,55468,15488,39056,924,0.016658253407370014
2013-01-14,2013,1,3,GWB_Upper,55587,11311,42963,1313,0.023620630723010776
2013-01-15,2013,1,3,GWB_Upper,57580,10813,45572,1195,0.020753733935394234
2013-01-16,2013,1,3,GWB_Upper,54110,10172,42780,1159,0.021419330992422842
2013-01-17,2013,1,3,GWB_Upper,58521,11155,46166,1201,0.020522547461594983
2013-01-18,2013,1,3,GWB_Upper,58803,13112,44396,1297,0.02205669778752785
2013-01-19,2013,1,3,GWB_Upper,62182,17183,43903,1096,0.01762567945707761
2013-01-20,2013,1,3,GWB_Upper,55996,16218,38877,902,0.01610829344953211
2013-01-21,2013,1,4,GWB_Upper,61524,13966,46416,1143,0.01857811585722645
2013-01-22,2013,1,4,GWB_Upper,56993,11039,44706,1248,0.02189742599968417
2013-01-23,2013,1,4,GWB_Upper,57657,10502,45884,1276,0.02213087743032069
2013-01-24,2013,1,4,GWB_Upper,59392,11048,47121,1223,0.02059199892241379
2013-01-25,2013,1,4,GWB_Upper,57541,11966,44415,1161,0.02017691732851358
