DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,Holland,35449,9824,24975,650,0.01833620130328077
2013-01-02,2013,1,1,Holland,41769,8620,32308,841,0.020134549546314252
2013-01-03,2013,1,1,Holland,41744,7928,32995,821,0.019667497125335377
2013-01-04,2013,1,1,Holland,42739,8673,33241,825,0.019303212522520416
2013-01-05,2013,1,1,Holland,42187,10188,31212,787,0.01865503591153673
2013-01-06,2013,1,1,Holland,37681,9265,27734,682,0.018099307343223375
2013-01-07,2013,1,2,Holland,40677,7547,32327,803,0.019740885512697592
2013-01-08,2013,1,2,Holland,40941,7185,32996,760,0.018563298405021862
2013-01-09,2013,1,2,Holland,41918,7044,34058,816,0.019466577603893316
2013-01-10,2013,1,2,Holland,43023,7434,34740,849,0.019733630848615857
2013-01-11,2013,1,2,Holland,42899,8124,33944,831,0.019371080910976946
2013-01-12,2013,1,2,Holland,40291,9852,29539,900,0.0223374947258693
2013-01-13,2013,1,2,Holland,37105,8916,27538,651,0.017544805282306966
2013-01-14,2013,1,3,Holland,41214,7502,32718,994,0.02411801814917261
2013-01-15,2013,1,3,Holland,42069,7308,33888,873,0.020751622334735792
2013-01-16,2013,1,3,Holland,41417,6837,33738,842,0.020329816259024074
2013-01-17,2013,1,3,Holland,44404,7566,35894,944,0.021259346004864427
2013-01-18,2013,1,3,Holland,45973,8996,35991,986,0.021447371283144456
2013-01-19,2013,1,3,Holland,42476,10521,31100,855,0.020129014031453056
2013-01-20,2013,1,3,Holland,37477,9312,27505,660,0.017610801291458762
2013-01-21,2013,1,4,Holland,39406,8452,30239,715,0.01814444500837436
2013-01-22,2013,1,4,Holland,42907,7570,34427,910,0.021208660591511875
2013-01-23,2013,1,4,Holland,43213,7247,35043,923,0.021359313169648023
2013-01-24,2013,1,4,Holland,44540,7570,36180,790,0.017736865738661876
2013-01-25,2013,1,4,Holland,41251,7818,32636,797,0.019320743739545707
2013-01-26,2013,1,4,Holland,39579,9257,29523,799,0.02018747315495591
2013-01-27,2013,1,4,Holland,38146,8980,28548,618,0.01620091228438106
2013-01-28,2013,1,5,Holland,39411,7105,31576,730,0.01852274745629393
2013-01-29,2013,1,5,Holland,42647,7098,34659,890,0.020868994302061107
2013-01-30,2013,1,5,Holland,43557,7213,35493,851,0.019537617374933994
2013-01-31,2013,1,5,Holland,45200,7594,36693,913,0.020199115044247786
2013-02-01,2013,2,5,Holland,46062,9083,35993,986,0.02140593113629456
2013-02-02,2013,2,5,Holland,42007,10384,30857,766,0.018235056062084892
