DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,Lincoln,37543,8735,28061,747,0.019897184561702582
2013-01-02,2013,1,1,Lincoln,45661,7215,37346,1100,0.02409058058299205
2013-01-03,2013,1,1,Lincoln,48386,6828,40466,1092,0.022568511552928532
2013-01-04,2013,1,1,Lincoln,49091,7499,40561,1031,0.02100181295960563
2013-01-05,2013,1,1,Lincoln,48014,9477,37634,903,0.01880701462073562
2013-01-06,2013,1,1,Lincoln,41624,8091,32784,749,0.017994426292523544
2013-01-07,2013,1,2,Lincoln,46771,6053,39825,893,0.019093027730858865
2013-01-08,2013,1,2,Lincoln,47818,5951,40895,972,0.020327073486971433
2013-01-09,2013,1,2,Lincoln,48735,5823,41857,1055,0.021647686467631065
2013-01-10,2013,1,2,Lincoln,49925,6172,42666,1088,0.021792689033550326
2013-01-11,2013,1,2,Lincoln,50089,7133,41891,1065,0.02126215336700673
2013-01-12,2013,1,2,Lincoln,47529,9112,37484,933,0.019630120557975132
2013-01-13,2013,1,2,Lincoln,41833,7862,33215,756,0.01807185714627208
2013-01-14,2013,1,3,Lincoln,45986,5950,38796,1240,0.026964728395598662
2013-01-15,2013,1,3,Lincoln,48581,5884,41582,1115,0.02295135958502295
2013-01-16,2013,1,3,Lincoln,47748,5807,40851,1090,0.022828181285080004
2013-01-17,2013,1,3,Lincoln,51827,6485,44225,1117,0.021552472649391245
2013-01-18,2013,1,3,Lincoln,53657,7966,44500,1192,0.022215181616564474
2013-01-19,2013,1,3,Lincoln,49808,10013,38849,946,0.018992932862190812
2013-01-20,2013,1,3,Lincoln,43198,8712,33712,774,0.01791749618037872
2013-01-21,2013,1,4,Lincoln,46001,6889,38211,901,0.01958653072759288
2013-01-22,2013,1,4,Lincoln,49500,6061,42284,1155,0.023333333333333334
2013-01-23,2013,1,4,Lincoln,50120,6011,42947,1162,0.02318435754189944
2013-01-24,2013,1,4,Lincoln,51094,6311,43698,1085,0.021235370102164638
2013-01-25,2013,1,4,Lincoln,48267,6794,40396,1077,0.022313381813661506
2013-01-26,2013,1,4,Lincoln,45535,8413,36189,933,0.020489733172285054
2013-01-27,2013,1,4,Lincoln,42916,7974,34212,730,0.01700997297045391
2013-01-28,2013,1,5,Lincoln,45072,5643,38464,965,0.02141018814341498
2013-01-29,2013,1,5,Lincoln,49796,5996,42672,1128,0.022652421881275604
2013-01-30,2013,1,5,Lincoln,50149,6141,42948,1060,0.021137011705118745
2013-01-31,2013,1,5,Lincoln,52114,6385,44696,1033,0.019821928848294125
2013-02-01,2013,2,5,Lincoln,51155,7546,42521,1088,0.021268693187371714
2013-02-02,2013,2,5,Lincoln,48965,9399,38620,946,0.01931992239354641
2013-02-03,2013,2,5,Lincoln,37338,7079,29541,718,0.019229739139750388
2013-02-04,2013,2,6,Lincoln,47075,6024,39929,1122,0.023834306956983537
2013-02-05,2013,2,6,Lincoln,48510,5674,41815,1022,0.02106782106782107
2013-02-06,2013,2,6,Lincoln,49987,6009,42997,981,0.019625102526656932
2013-02-07,2013,2,6,Lincoln,52810,6556,45188,1066,0.020185570914599507
2013-02-08,2013,2,6,Lincoln,35138,4721,29562,856,0.02436109055723149
2013-02-09,2013,2,6,Lincoln,23574,4499,18414,661,0.028039365402562143
2013-02-10,2013,2,6,Lincoln,37484,6913,29817,754,0.020115249172980472
2013-02-11,2013,2,7,Lincoln,46556,5908,39443,1205,0.025882807801357505
2013-02-12,2013,2,7,Lincoln,50647,6241,43377,1029,0.020317096767824352
2013-02-13,2013,2,7,Lincoln,50668,6289,43226,1154,0.022775716428515037
2013-02-14,2013,2,7,Lincoln,52225,7166,43953,1107,0.021196744853997126
2013-02-15,2013,2,7,Lincoln,53669,8801,43672,1196,0.02228474538374108
