DATE,Year,Month,Week,Facility_Name,Total_Traffic,Cash,EZPass,Violations,Violation_Rate
2013-01-01,2013,1,1,Outerbridge,32427,4782,26734,911,0.02809387239029204
2013-01-02,2013,1,1,Outerbridge,37133,4500,31392,1241,0.03342040772358818
2013-01-03,2013,1,1,Outerbridge,37338,4327,31748,1263,0.03382612887674755
2013-01-04,2013,1,1,Outerbridge,38356,4759,32379,1218,0.0317551360934404
2013-01-05,2013,1,1,Outerbridge,37442,5495,30864,1083,0.028924736926446235
2013-01-06,2013,1,1,Outerbridge,33760,4943,27884,933,0.027636255924170617
2013-01-07,2013,1,2,Outerbridge,35845,4214,30538,1093,0.03049239782396429
2013-01-08,2013,1,2,Outerbridge,36522,4024,31400,1098,0.030064070970921637
2013-01-09,2013,1,2,Outerbridge,36861,4040,31695,1126,0.03054719079786224
2013-01-10,2013,1,2,Outerbridge,37444,4227,32042,1175,0.03138019442367269
2013-01-11,2013,1,2,Outerbridge,38113,4587,32263,1263,0.03313829926796631
2013-01-12,2013,1,2,Outerbridge,37145,5386,30681,1078,0.029021402611387803
2013-01-13,2013,1,2,Outerbridge,35227,5043,29148,1036,0.029409259942657622
2013-01-14,2013,1,3,Outerbridge,35808,4141,30337,1330,0.03714253798033959
2013-01-15,2013,1,3,Outerbridge,36185,3975,31010,1200,0.03316291280917507
2013-01-16,2013,1,3,Outerbridge,34411,3753,29537,1121,0.03257679230478626
2013-01-17,2013,1,3,Outerbridge,37761,4204,32299,1258,0.0333147956886735
2013-01-18,2013,1,3,Outerbridge,39068,4830,32997,1241,0.03176512747005222
2013-01-19,2013,1,3,Outerbridge,38400,5577,31637,1186,0.030885416666666665
2013-01-20,2013,1,3,Outerbridge,36950,5289,30592,1069,0.028930987821380243
2013-01-21,2013,1,4,Outerbridge,39053,4818,32961,1274,0.03262233375156838
2013-01-22,2013,1,4,Outerbridge,35889,3937,30662,1290,0.03594416116358773
2013-01-23,2013,1,4,Outerbridge,35999,3821,30889,1289,0.0358065501819495
2013-01-24,2013,1,4,Outerbridge,36957,3987,31727,1243,0.03363368238763969
2013-01-25,2013,1,4,Outerbridge,34739,4040,29447,1252,0.036040185382423214
2013-01-26,2013,1,4,Outerbridge,33837,4811,27918,1108,0.03274521972988149
2013-01-27,2013,1,4,Outerbridge,35358,5070,29290,998,0.028225578369817296
2013-01-28,2013,1,5,Outerbridge,33268,3684,28398,1186,0.03564987375255501
2013-01-29,2013,1,5,Outerbridge,35650,3825,30637,1188,0.033323983169705466
2013-01-30,2013,1,5,Outerbridge,35864,4303,30311,1250,0.03485389248271247
2013-01-31,2013,1,5,Outerbridge,36954,4155,31523,1276,0.03452941494831412
2013-02-01,2013,2,5,Outerbridge,38547,4748,32565,1234,0.03201286740861805
2013-02-02,2013,2,5,Outerbridge,38658,5571,31910,1177,0.030446479383310052
2013-02-03,2013,2,5,Outerbridge,33492,4731,27768,993,0.029648871372268005
2013-02-04,2013,2,6,Outerbridge,36599,4183,31184,1232,0.03366212191589934
2013-02-05,2013,2,6,Outerbridge,35410,3865,30325,1220,0.03445354419655464
2013-02-06,2013,2,6,Outerbridge,36162,3861,31095,1206,0.03334992533598805
2013-02-07,2013,2,6,Outerbridge,40059,4373,34368,1318,0.03290147033126139
2013-02-08,2013,2,6,Outerbridge,26971,2989,22983,999,0.037039783471135665
2013-02-09,2013,2,6,Outerbridge,14458,2016,11865,577,0.03990870106515424
2013-02-10,2013,2,6,Outerbridge,29912,4032,25000,880,0.02941963091735758
2013-02-11,2013,2,7,Outerbridge,32944,3659,28160,1125,0.03414885866925692
2013-02-12,2013,2,7,Outerbridge,36329,3921,31244,1164,0.032040518593960746
2013-02-13,2013,2,7,Outerbridge,36287,3949,31168,1170,0.032242952021385066
2013-02-14,2013,2,7,Outerbridge,36835,4081,31470,1284,0.034858151214877155
2013-02-15,2013,2,7,Outerbridge,40737,5151,34235,1351,0.033163954144880575
2013-02-16,2013,2,7,Outerbridge,37891,5593,31125,1173,0.03095721939246787
2013-02-17,2013,2,7,Outerbridge,37973,5475,31436,1062,0.027967239880968057
2013-02-18,2013,2,8,Outerbridge,39887,4952,33744,1191,0.029859352671296413
2013-02-19,2013,2,8,Outerbridge,38000,4330,32487,1183,0.03113157894736842
2013-02-20,2013,2,8,Outerbridge,37080,4033,31865,1182,0.031877022653721686
2013-02-21,2013,2,8,Outerbridge,37457,4121,32106,1230,0.03283765384307339
2013-02-22,2013,2,8,Outerbridge,39240,4799,33184,1257,0.032033639143730884
2013-02-23,2013,2,8,Outerbridge,35308,5136,29108,1064,0.03013481363996828
2013-02-24,2013,2,8,Outerbridge,38120,5317,31787,1016,0.026652675760755508
2013-02-25,2013,2,9,Outerbridge,36783,4268,31361,1154,0.031373188701302235
2013-02-26,2013,2,9,Outerbridge,35977,3890,30964,1123,0.031214386969452706
2013-02-27,2013,2,9,Outerbridge,35493,3803,30568,1122,0.031611867128729605
2013-02-28,2013,2,9,Outerbridge,38076,4181,32651,1244,0.03267149910704906
2013-03-01,2013,3,9,Outerbridge,39574,4840,33445,1289,0.032571890635265575
2013-03-02,2013,3,9,Outerbridge,40596,5968,33448,1180,0.029066903143166813
2013-03-03,2013,3,9,Outerbridge,38985,5443,32475,1067,0.02736950109016288
2013-03-04,2013,3,10,Outerbridge,37186,4276,31686,1224,0.03291561340289356
2013-03-05,2013,3,10,Outerbridge,37938,4107,32641,1190,0.03136696715694027
2013-03-06,2013,3,10,Outerbridge,33801,3465,29307,1029,0.030442886305138903
2013-03-07,2013,3,10,Outerbridge,33331,3572,28726,1033,0.03099216945186163
2013-03-08,2013,3,10,Outerbridge,33217,4012,27852,1353,0.04073215522172382
2013-03-09,2013,3,10,Outerbridge,40289,5650,33445,1194,0.029635880761498177
2013-03-10,2013,3,10,Outerbridge,39141,5536,32497,1108,0.028307912419202372
2013-03-11,2013,3,11,Outerbridge,37868,4231,32405,1232,0.032534065701911905
2013-03-12,2013,3,11,Outerbridge,35894,3804,31021,1069,0.029782136290187774
2013-03-13,2013,3,11,Outerbridge,37987,4111,32696,1180,0.031063258483165292
2013-03-14,2013,3,11,Outerbridge,38721,4384,33100,1237,0.03194648898530513
2013-03-15,2013,3,11,Outerbridge,40832,5046,34511,1275,0.031225509404388715
2013-03-16,2013,3,11,Outerbridge,39203,5612,32394,1197,0.030533377547636662
2013-03-17,2013,3,11,Outerbridge,38999,5481,32450,1068,0.02738531757224544
2013-03-18,2013,3,12,Outerbridge,35674,4001,30507,1166,0.03268486853170376
2013-03-19,2013,3,12,Outerbridge,35215,3822,30275,1118,0.03174783472951867
2013-03-20,2013,3,12,Outerbridge,37667,4049,32419,1199,0.03183157671171052
2013-03-21,2013,3,12,Outerbridge,38058,4271,32652,1135,0.029822901886594144
2013-03-22,2013,3,12,Outerbridge,39716,4896,33627,1193,0.030038271729277873
2013-03-23,2013,3,12,Outerbridge,40176,5876,33087,1213,0.030192154520111508
2013-03-24,2013,3,12,Outerbridge,39986,5739,33165,1082,0.027059470814785175
2013-03-25,2013,3,13,Outerbridge,35952,4163,30639,1150,0.03198709390298175
2013-03-26,2013,3,13,Outerbridge,37685,4362,32144,1179,0.031285657423378
2013-03-27,2013,3,13,Outerbridge,38587,4557,32900,1130,0.029284474045663048
2013-03-28,2013,3,13,Outerbridge,42705,5292,36144,1269,0.029715489989462593
2013-03-29,2013,3,13,Outerbridge,41899,5721,34896,1282,0.030597388959163703
2013-03-30,2013,3,13,Outerbridge,41703,6347,34156,1200,0.028774908279979857
2013-03-31,2013,3,13,Outerbridge,44382,6926,36381,1075,0.02422153125140823
2013-04-01,2013,4,14,Outerbridge,38771,4976,32649,1146,0.029558174924557014
2013-04-02,2013,4,14,Outerbridge,37804,4530,32147,1127,0.02981166014178394
2013-04-03,2013,4,14,Outerbridge,38735,4396,33189,1150,0.029688911836840068
2013-04-04,2013,4,14,Outerbridge,39963,4495,34220,1248,0.0312288867202162
2013-04-05,2013,4,14,Outerbridge,40787,5096,34438,1253,0.03072057273150759
2013-04-06,2013,4,14,Outerbridge,42307,6123,34912,1272,0.030065946533670552
2013-04-07,2013,4,14,Outerbridge,41279,5851,34209,1219,0.029530754136485864
2013-04-08,2013,4,15,Outerbridge,37952,4238,32387,1327,0.034965219224283306
2013-04-09,2013,4,15,Outerbridge,38501,4083,33137,1281,0.033271863068491725
2013-04-10,2013,4,15,Outerbridge,38488,4169,33071,1248,0.03242569112450634
2013-04-11,2013,4,15,Outerbridge,38911,4277,33320,1314,0.03376937112898666
2013-04-12,2013,4,15,Outerbridge,37514,4471,31861,1182,0.031508236924881375
2013-04-13,2013,4,15,Outerbridge,41983,6049,34667,1267,0.03017888192839959
2013-04-14,2013,4,15,Outerbridge,42019,5885,34916,1218,0.02898688688450463
2013-04-15,2013,4,16,Outerbridge,37619,4316,32068,1235,0.032829155479943646
2013-04-16,2013,4,16,Outerbridge,37895,4089,32623,1183,0.031217838765008575
2013-04-17,2013,4,16,Outerbridge,38852,4092,33554,1206,0.031040873056728098
2013-04-18,2013,4,16,Outerbridge,38957,4278,33394,1285,0.0329850861205945
2013-04-19,2013,4,16,Outerbridge,40779,4841,34658,1280,0.0313887049706957
2013-04-20,2013,4,16,Outerbridge,43090,6251,35563,1276,0.02961243908099327
2013-04-21,2013,4,16,Outerbridge,43163,6100,35773,1290,0.029886708523503926
2013-04-22,2013,4,17,Outerbridge,37532,4283,31993,1256,0.033464776723862305
2013-04-23,2013,4,17,Outerbridge,37362,3906,32225,1231,0.032947914993844016
2013-04-24,2013,4,17,Outerbridge,38695,4305,33158,1232,0.03183873885514924
2013-04-25,2013,4,17,Outerbridge,39623,4322,34015,1286,0.03245589682760013
2013-04-26,2013,4,17,Outerbridge,42000,5045,35670,1285,0.030595238095238095
2013-04-27,2013,4,17,Outerbridge,43706,6362,35949,1395,0.03191781448771336
2013-04-28,2013,4,17,Outerbridge,44651,6349,37050,1252,0.028039685561353608
2013-04-29,2013,4,18,Outerbridge,36871,4195,31456,1220,0.03308833500583114
2013-04-30,2013,4,18,Outerbridge,38108,4009,32878,1221,0.03204051642699696
2013-05-01,2013,5,18,Outerbridge,38730,4172,33305,1253,0.03235218177123677
2013-05-02,2013,5,18,Outerbridge,39484,4393,33819,1272,0.03221558099483335
2013-05-03,2013,5,18,Outerbridge,41461,5023,35156,1282,0.030920624201056415
2013-05-04,2013,5,18,Outerbridge,42655,6098,35210,1347,0.031578947368421054
2013-05-05,2013,5,18,Outerbridge,43444,6114,36072,1258,0.02895681797256238
2013-05-06,2013,5,19,Outerbridge,38574,4325,32960,1289,0.0334162907658008
2013-05-07,2013,5,19,Outerbridge,39477,4161,34043,1273,0.03224662461686552
2013-05-08,2013,5,19,Outerbridge,36518,3856,31513,1149,0.03146393559340599
2013-05-09,2013,5,19,Outerbridge,39206,4396,33610,1200,0.03060756006733663
2013-05-10,2013,5,19,Outerbridge,42607,5220,35960,1427,0.03349214917736522
2013-05-11,2013,5,19,Outerbridge,43588,6130,36181,1277,0.02929705423511058
2013-05-12,2013,5,19,Outerbridge,45937,6473,38209,1255,0.027320025251975532
2013-05-13,2013,5,20,Outerbridge,39506,4502,33685,1319,0.033387333569584364
2013-05-14,2013,5,20,Outerbridge,38591,4206,33151,1234,0.031976367546837345
2013-05-15,2013,5,20,Outerbridge,37386,4265,31861,1260,0.033702455464612424
2013-05-16,2013,5,20,Outerbridge,39299,4531,33434,1334,0.03394488409374284
2013-05-17,2013,5,20,Outerbridge,43218,5239,36523,1456,0.03368966634272757
2013-05-18,2013,5,20,Outerbridge,43588,6253,36056,1279,0.029342938423419288
2013-05-19,2013,5,20,Outerbridge,43061,5962,35905,1194,0.0277281066394185
2013-05-20,2013,5,21,Outerbridge,39192,4499,33348,1345,0.03431822820983874
2013-05-21,2013,5,21,Outerbridge,39273,4250,33783,1240,0.031573854811193444
2013-05-22,2013,5,21,Outerbridge,41651,4445,35873,1333,0.03200403351660224
2013-05-23,2013,5,21,Outerbridge,40282,4544,34416,1322,0.03281862866789136
2013-05-24,2013,5,21,Outerbridge,39345,5091,32945,1309,0.03326979285805058
2013-05-25,2013,5,21,Outerbridge,36718,5798,29803,1117,0.03042104689797919
2013-05-26,2013,5,21,Outerbridge,43734,6324,36232,1178,0.026935565006630996
2013-05-27,2013,5,22,Outerbridge,43060,6259,35462,1339,0.031096144914073386
2013-05-28,2013,5,22,Outerbridge,40891,4634,34900,1357,0.03318578660340906
2013-05-29,2013,5,22,Outerbridge,39561,4364,33914,1283,0.03243092945072167
2013-05-30,2013,5,22,Outerbridge,41199,4673,35139,1387,0.03366586567635137
2013-05-31,2013,5,22,Outerbridge,43181,5233,36504,1444,0.03344063361200528
2013-06-01,2013,6,22,Outerbridge,44077,6605,36072,1400,0.03176259727295415
2013-06-02,2013,6,22,Outerbridge,45199,6353,37467,1379,0.03050952454700325
2013-06-03,2013,6,23,Outerbridge,38560,4430,32800,1330,0.03449170124481328
2013-06-04,2013,6,23,Outerbridge,39549,4291,33953,1305,0.032997041644542216
2013-06-05,2013,6,23,Outerbridge,40500,4467,34688,1345,0.03320987654320988
2013-06-06,2013,6,23,Outerbridge,41932,4595,35918,1419,0.0338405036726128
2013-06-07,2013,6,23,Outerbridge,36517,4440,30851,1226,0.03357340416792179
2013-06-08,2013,6,23,Outerbridge,42045,6196,34562,1287,0.030610060649304317
2013-06-09,2013,6,23,Outerbridge,46257,6565,38274,1418,0.030654819811055625
2013-06-10,2013,6,24,Outerbridge,38049,4424,32337,1288,0.03385108675655076
2013-06-11,2013,6,24,Outerbridge,39439,4151,34005,1283,0.03253125079236289
2013-06-12,2013,6,24,Outerbridge,42188,4661,36105,1422,0.033706267184981514
2013-06-13,2013,6,24,Outerbridge,37526,4119,32142,1265,0.033709961093641744
2013-06-14,2013,6,24,Outerbridge,42939,5320,36154,1465,0.034118167633154006
2013-06-15,2013,6,24,Outerbridge,46703,6821,38330,1552,0.03323126993983256
2013-06-16,2013,6,24,Outerbridge,49090,6940,40732,1418,0.028885720105927888
2013-06-17,2013,6,25,Outerbridge,41589,4900,35256,1433,0.03445622640602082
2013-06-18,2013,6,25,Outerbridge,39962,4346,34310,1306,0.03268104699464491
2013-06-19,2013,6,25,Outerbridge,42561,4648,36463,1450,0.034068748384671416
2013-06-20,2013,6,25,Outerbridge,43178,5038,36679,1461,0.03383667608504331
2013-06-21,2013,6,25,Outerbridge,43589,5543,36544,1502,0.03445823487577141
2013-06-22,2013,6,25,Outerbridge,46970,7180,38306,1484,0.031594634873323396
2013-06-23,2013,6,25,Outerbridge,48018,7118,39431,1469,0.030592694406264317
2013-06-24,2013,6,26,Outerbridge,43152,5100,36527,1525,0.03534019280682239
2013-06-25,2013,6,26,Outerbridge,41145,4821,34902,1422,0.034560699963543565
2013-06-26,2013,6,26,Outerbridge,42230,4912,35876,1442,0.03414634146341464
2013-06-27,2013,6,26,Outerbridge,42012,4893,35661,1458,0.03470437017994859
2013-06-28,2013,6,26,Outerbridge,42659,5494,35670,1495,0.035045359713073446
2013-06-29,2013,6,26,Outerbridge,45175,6993,36630,1552,0.034355285002767015
2013-06-30,2013,6,26,Outerbridge,45597,6763,37466,1368,0.030001973814066715
2013-07-01,2013,7,27,Outerbridge,40106,4986,33697,1423,0.03548097541514985
2013-07-02,2013,7,27,Outerbridge,40061,4818,33870,1373,0.034272734080527195
2013-07-03,2013,7,27,Outerbridge,40908,5355,34168,1385,0.03385645839444607
2013-07-04,2013,7,27,Outerbridge,33338,5528,26745,1065,0.03194552762613234
2013-07-05,2013,7,27,Outerbridge,42025,6196,34417,1412,0.03359904818560381
2013-07-06,2013,7,27,Outerbridge,43706,6856,35422,1428,0.03267285956161625
2013-07-07,2013,7,27,Outerbridge,45780,7194,37201,1386,0.030275229357798167
2013-07-08,2013,7,28,Outerbridge,41272,5184,34684,1404,0.03401822058538476
2013-07-09,2013,7,28,Outerbridge,37080,4272,31517,1291,0.03481661272923409
2013-07-10,2013,7,28,Outerbridge,36061,4010,30826,1225,0.03397021713208175
2013-07-11,2013,7,28,Outerbridge,32730,3785,27877,1068,0.032630614115490376
2013-07-12,2013,7,28,Outerbridge,37618,4788,31619,1211,0.03219203572757722
2013-07-13,2013,7,28,Outerbridge,38982,5951,31748,1283,0.03291262634036222
2013-07-14,2013,7,28,Outerbridge,42141,6227,34612,1302,0.030896276785078666
2013-07-15,2013,7,29,Outerbridge,37613,4499,31726,1388,0.03690213490016749
2013-07-16,2013,7,29,Outerbridge,34473,3831,29449,1193,0.0346067937226235
2013-07-17,2013,7,29,Outerbridge,36527,4121,31195,1211,0.033153557642292004
2013-07-18,2013,7,29,Outerbridge,36535,4125,31113,1297,0.035500205282605724
2013-07-19,2013,7,29,Outerbridge,37918,5043,31576,1299,0.03425813597763595
2013-07-20,2013,7,29,Outerbridge,37310,5712,30452,1146,0.030715625837577056
2013-07-21,2013,7,29,Outerbridge,44133,6827,35961,1345,0.030476060997439557
2013-07-22,2013,7,30,Outerbridge,37744,4457,31980,1307,0.03462802034760492
2013-07-23,2013,7,30,Outerbridge,35146,3859,30141,1146,0.032606840038695725
2013-07-24,2013,7,30,Outerbridge,34356,3855,29371,1130,0.03289090697403656
2013-07-25,2013,7,30,Outerbridge,35679,4078,30381,1220,0.03419378345805656
2013-07-26,2013,7,30,Outerbridge,39014,4935,32764,1315,0.0337058491823448
2013-07-27,2013,7,30,Outerbridge,35270,5330,28805,1135,0.03218032322086759
2013-07-28,2013,7,30,Outerbridge,42574,6154,35222,1198,0.028139239911683187
2013-07-29,2013,7,31,Outerbridge,38435,4397,32758,1280,0.033302979055548326
2013-07-30,2013,7,31,Outerbridge,36457,3914,31290,1253,0.03436925693282497
2013-07-31,2013,7,31,Outerbridge,37243,4095,31912,1236,0.03318744462046559
2013-08-01,2013,8,31,Outerbridge,34576,3912,29464,1200,0.034706154558074964
2013-08-02,2013,8,31,Outerbridge,39174,5017,32847,1310,0.033440547301781795
2013-08-03,2013,8,31,Outerbridge,38089,5724,31193,1172,0.03077003859381974
2013-08-04,2013,8,31,Outerbridge,43083,6255,35576,1252,0.029060186152310655
2013-08-05,2013,8,32,Outerbridge,40031,4736,33920,1375,0.03434838000549574
2013-08-06,2013,8,32,Outerbridge,36648,3921,31481,1246,0.03399912682820345
2013-08-07,2013,8,32,Outerbridge,35695,3842,30663,1190,0.033338002521361536
2013-08-08,2013,8,32,Outerbridge,36336,4053,31105,1178,0.032419638925583444
2013-08-09,2013,8,32,Outerbridge,37286,4747,31324,1215,0.0325859571957303
2013-08-10,2013,8,32,Outerbridge,40283,6022,32994,1267,0.03145247374823126
2013-08-11,2013,8,32,Outerbridge,44369,6765,36300,1304,0.02938988933714981
2013-08-12,2013,8,33,Outerbridge,38290,4443,32544,1303,0.03402977278662836
2013-08-13,2013,8,33,Outerbridge,32422,3508,27811,1103,0.034020109801986304
2013-08-14,2013,8,33,Outerbridge,37622,4145,32254,1223,0.032507575354845566
2013-08-15,2013,8,33,Outerbridge,37496,4164,32073,1259,0.033576914870919565
2013-08-16,2013,8,33,Outerbridge,38452,4880,32337,1235,0.03211796525538334
2013-08-17,2013,8,33,Outerbridge,41466,6354,33774,1338,0.03226739979742439
2013-08-18,2013,8,33,Outerbridge,43092,6379,35426,1287,0.029866332497911444
2013-08-19,2013,8,34,Outerbridge,38731,4604,32839,1288,0.03325501536237123
2013-08-20,2013,8,34,Outerbridge,37205,4003,31897,1305,0.035075930654481925
2013-08-21,2013,8,34,Outerbridge,38201,4137,32715,1349,0.0353132116960289
2013-08-22,2013,8,34,Outerbridge,35950,4028,30690,1232,0.03426981919332406
2013-08-23,2013,8,34,Outerbridge,40922,5106,34450,1366,0.033380577684375155
2013-08-24,2013,8,34,Outerbridge,40534,6046,33218,1270,0.03133172151773819
2013-08-25,2013,8,34,Outerbridge,45727,6722,37591,1414,0.030922649638069413
2013-08-26,2013,8,35,Outerbridge,39502,4406,33741,1355,0.0343020606551567
2013-08-27,2013,8,35,Outerbridge,37261,3927,32062,1272,0.03413757011352352
2013-08-28,2013,8,35,Outerbridge,36129,3857,31070,1202,0.03326967256220764
2013-08-29,2013,8,35,Outerbridge,37149,4132,31703,1314,0.035371073245578616
2013-08-30,2013,8,35,Outerbridge,38813,5205,32314,1294,0.033339345064797875
2013-08-31,2013,8,35,Outerbridge,40114,6575,32271,1268,0.0316099117515082
2013-09-01,2013,9,35,Outerbridge,43221,6526,35391,1304,0.030170518960690406
2013-09-02,2013,9,36,Outerbridge,36562,5519,29895,1148,0.031398719982495486
2013-09-03,2013,9,36,Outerbridge,36715,4059,31333,1323,0.036034318398474735
2013-09-04,2013,9,36,Outerbridge,34466,3574,29823,1069,0.03101607381187257
2013-09-05,2013,9,36,Outerbridge,32608,3550,27944,1114,0.03416339548577036
2013-09-06,2013,9,36,Outerbridge,36778,4510,30986,1282,0.0348577954211757
2013-09-07,2013,9,36,Outerbridge,38792,5490,32051,1251,0.03224891730253661
2013-09-08,2013,9,36,Outerbridge,40366,5608,33504,1254,0.031065748402120598
2013-09-09,2013,9,37,Outerbridge,33412,3672,28579,1161,0.03474799473243146
2013-09-10,2013,9,37,Outerbridge,32365,3164,28114,1087,0.033585663525413256
2013-09-11,2013,9,37,Outerbridge,32881,3268,28438,1175,0.03573492290380463
2013-09-12,2013,9,37,Outerbridge,32371,3376,27905,1090,0.0336721139291341
2013-09-13,2013,9,37,Outerbridge,36644,4316,31050,1278,0.034876105228686824
2013-09-14,2013,9,37,Outerbridge,36351,5303,29924,1124,0.03092074495887321
2013-09-15,2013,9,37,Outerbridge,38925,5328,32407,1190,0.03057161207450225
2013-09-16,2013,9,38,Outerbridge,32729,3445,28171,1113,0.03400653854379908
2013-09-17,2013,9,38,Outerbridge,31974,3122,27834,1018,0.03183836867454807
2013-09-18,2013,9,38,Outerbridge,33529,3307,29160,1062,0.03167407319037251
2013-09-19,2013,9,38,Outerbridge,31180,3220,26875,1085,0.03479794740218089
2013-09-20,2013,9,38,Outerbridge,35486,4131,30167,1188,0.03347799132052077
2013-09-21,2013,9,38,Outerbridge,36893,5090,30681,1122,0.0304122733309842
2013-09-22,2013,9,38,Outerbridge,40364,5540,33657,1167,0.02891190169457933
2013-09-23,2013,9,39,Outerbridge,34058,3548,29368,1142,0.03353103529273592
