Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
Bayonne,2013,1,279932.0,255418.0,12042.0,10835.0,1637.0,8063.0,Actual
Bayonne,2013,2,249747.0,228696.0,10276.0,9300.0,1475.0,6775.0,Actual
Bayonne,2013,3,283081.0,261071.0,10184.0,10050.0,1776.0,7356.0,Actual
Bayonne,2013,4,288071.0,264471.0,10780.0,10968.0,1852.0,7969.0,Actual
Bayonne,2013,5,302573.0,278376.0,11113.0,11032.0,2052.0,8715.0,Actual
Bayonne,2013,6,293505.0,270994.0,10383.0,10345.0,1783.0,9097.0,Actual
Bayonne,2013,7,299264.0,274895.0,11013.0,11366.0,1990.0,9674.0,Actual
Bayonne,2013,8,307269.0,280857.0,11789.0,12451.0,2172.0,9819.0,Actual
Bayonne,2013,9,286315.0,262422.0,11093.0,10942.0,1858.0,9593.0,Actual
Bayonne,2013,10,301657.0,276098.0,11610.0,11795.0,2154.0,9171.0,Actual
Bayonne,2013,11,282641.0,260625.0,10011.0,10191.0,1814.0,7973.0,Actual
Bayonne,2013,12,266325.0,246151.0,9102.0,9467.0,1605.0,6875.0,Actual
Bayonne,2014,1,236061.0,217623.0,8123.0,8926.0,1389.0,6106.0,Actual
Bayonne,2014,2,207434.0,191670.0,7127.0,7426.0,1211.0,5506.0,Actual
Bayonne,2014,3,247515.0,228401.0,8502.0,9229.0,1383.0,6100.0,Actual
Bayonne,2014,4,240789.0,222839.0,8328.0,8324.0,1298.0,5871.0,Actual
Bayonne,2014,5,230416.0,211592.0,8340.0,9016.0,1468.0,6025.0,Actual
Bayonne,2014,6,249395.0,230353.0,8504.0,9027.0,1511.0,6385.0,Actual
Bayonne,2014,7,250536.0,230708.0,8807.0,9409.0,1612.0,6463.0,Actual
Bayonne,2014,8,215960.0,198838.0,7835.0,7998.0,1289.0,5538.0,Actual
Bayonne,2014,9,215817.0,198731.0,7954.0,7850.0,1282.0,5420.0,Actual
Bayonne,2014,10,243349.0,224999.0,8582.0,8312.0,1456.0,5738.0,Actual
Bayonne,2014,11,207807.0,192936.0,6945.0,6601.0,1325.0,5007.0,Actual
Bayonne,2014,12,232733.0,216047.0,7914.0,7432.0,1340.0,5630.0,Actual
Bayonne,2015,1,198710.0,183686.0,7124.0,6749.0,1151.0,4898.0,Actual
Bayonne,2015,2,166023.0,153817.0,6101.0,5075.0,1030.0,3783.0,Actual
Bayonne,2015,3,194723.0,180071.0,7148.0,6242.0,1262.0,4364.0,Actual
Bayonne,2015,4,167765.0,158059.0,4846.0,3826.0,1034.0,3765.0,Actual
Bayonne,2015,5,191820.0,181481.0,5152.0,4082.0,1105.0,4737.0,Actual
Bayonne,2015,6,181418.0,172089.0,4691.0,3581.0,1057.0,4323.0,Actual
Bayonne,2015,7,169705.0,160440.0,4641.0,3670.0,954.0,4428.0,Actual
Bayonne,2015,8,160308.0,151366.0,4464.0,3570.0,908.0,4167.0,Actual
Bayonne,2015,9,161798.0,152748.0,4553.0,3571.0,926.0,4057.0,Actual
Bayonne,2015,10,149906.0,141316.0,4289.0,3453.0,848.0,3925.0,Actual
Bayonne,2015,11,148348.0,140476.0,3916.0,3149.0,807.0,3720.0,Actual
Bayonne,2015,12,167150.0,158019.0,4758.0,3458.0,915.0,4360.0,Actual
Bayonne,2016,1,129334.0,122399.0,3583.0,2628.0,724.0,3569.0,Actual
Bayonne,2016,2,124720.0,117360.0,3848.0,2822.0,690.0,3159.0,Actual
Bayonne,2016,3,145374.0,137114.0,4303.0,3054.0,903.0,3362.0,Actual
Bayonne,2016,4,128212.0,120971.0,3813.0,2678.0,750.0,3123.0,Actual
Bayonne,2016,5,147981.0,140266.0,3983.0,2965.0,767.0,3961.0,Actual
Bayonne,2016,6,139225.0,131420.0,3862.0,3129.0,814.0,3665.0,Actual
Bayonne,2016,7,121084.0,114182.0,3548.0,2660.0,694.0,3412.0,Actual
