Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
GWB_Lower,2013,1,1467987.0,1457480.0,2874.0,384.0,7249.0,46418.0,Actual
GWB_Lower,2013,2,1367179.0,1357041.0,2775.0,438.0,6925.0,42104.0,Actual
GWB_Lower,2013,3,1675101.0,1662624.0,3251.0,526.0,8700.0,48625.0,Actual
GWB_Lower,2013,4,1710119.0,1696889.0,3501.0,578.0,9151.0,48147.0,Actual
GWB_Lower,2013,5,1774699.0,1760525.0,3729.0,523.0,9922.0,54437.0,Actual
GWB_Lower,2013,6,1786160.0,1771227.0,3774.0,522.0,10637.0,60617.0,Actual
GWB_Lower,2013,7,1772484.0,1757862.0,3787.0,557.0,10278.0,61592.0,Actual
GWB_Lower,2013,8,1910756.0,1894761.0,4151.0,667.0,11177.0,63835.0,Actual
GWB_Lower,2013,9,1734946.0,1721661.0,3487.0,616.0,9182.0,55856.0,Actual
GWB_Lower,2013,10,1745897.0,1731376.0,3713.0,611.0,10197.0,54894.0,Actual
GWB_Lower,2013,11,1716081.0,1702370.0,3620.0,561.0,9530.0,53215.0,Actual
GWB_Lower,2013,12,1667846.0,1655344.0,3413.0,457.0,8632.0,55961.0,Actual
GWB_Lower,2014,1,1466342.0,1455219.0,3165.0,434.0,7524.0,49827.0,Actual
GWB_Lower,2014,2,1319843.0,1309343.0,2817.0,432.0,7251.0,42628.0,Actual
GWB_Lower,2014,3,1591546.0,1578759.0,3282.0,506.0,8999.0,49395.0,Actual
GWB_Lower,2014,4,1648425.0,1635521.0,3399.0,552.0,8953.0,53989.0,Actual
GWB_Lower,2014,5,1786050.0,1771676.0,3655.0,618.0,10101.0,64166.0,Actual
GWB_Lower,2014,6,1827652.0,1811795.0,3931.0,646.0,11280.0,68719.0,Actual
GWB_Lower,2014,7,1948661.0,1931611.0,4154.0,781.0,12115.0,76515.0,Actual
GWB_Lower,2014,8,1950575.0,1934243.0,3996.0,631.0,11705.0,69892.0,Actual
GWB_Lower,2014,9,1793592.0,1779873.0,3897.0,545.0,9277.0,59868.0,Actual
GWB_Lower,2014,10,1783328.0,1769194.0,3734.0,474.0,9926.0,61765.0,Actual
GWB_Lower,2014,11,1646958.0,1634802.0,3113.0,425.0,8618.0,59830.0,Actual
GWB_Lower,2014,12,1715647.0,1703259.0,3491.0,489.0,8408.0,64177.0,Actual
GWB_Lower,2015,1,1430779.0,1420391.0,2787.0,451.0,7150.0,53415.0,Actual
GWB_Lower,2015,2,1368150.0,1357381.0,2901.0,384.0,7484.0,48136.0,Actual
