Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
GWB_PIP,2013,1,590103.0,587813.0,492.0,25.0,1773.0,14844.0,Actual
GWB_PIP,2013,2,513729.0,511569.0,443.0,34.0,1683.0,12967.0,Actual
GWB_PIP,2013,3,576049.0,573905.0,438.0,20.0,1686.0,13527.0,Actual
GWB_PIP,2013,4,575717.0,573382.0,415.0,16.0,1904.0,13766.0,Actual
GWB_PIP,2013,5,623013.0,620692.0,461.0,24.0,1836.0,16451.0,Actual
GWB_PIP,2013,6,624867.0,622413.0,472.0,19.0,1963.0,18164.0,Actual
GWB_PIP,2013,7,662305.0,657255.0,754.0,18.0,4278.0,20209.0,Actual
GWB_PIP,2013,8,640450.0,636809.0,643.0,33.0,2965.0,17821.0,Actual
GWB_PIP,2013,9,592924.0,590503.0,432.0,19.0,1970.0,16078.0,Actual
GWB_PIP,2013,10,640926.0,637798.0,461.0,27.0,2640.0,16689.0,Actual
GWB_PIP,2013,11,572523.0,570125.0,434.0,24.0,1940.0,14269.0,Actual
GWB_PIP,2013,12,572285.0,569934.0,510.0,32.0,1809.0,14851.0,Actual
GWB_PIP,2014,1,530042.0,527847.0,434.0,62.0,1699.0,14616.0,Actual
GWB_PIP,2014,2,459233.0,457401.0,427.0,57.0,1348.0,12723.0,Actual
GWB_PIP,2014,3,586776.0,584607.0,495.0,15.0,1659.0,15101.0,Actual
GWB_PIP,2014,4,596112.0,593854.0,480.0,23.0,1755.0,15969.0,Actual
GWB_PIP,2014,5,640905.0,638499.0,501.0,38.0,1867.0,18488.0,Actual
GWB_PIP,2014,6,597935.0,595433.0,458.0,41.0,2003.0,17613.0,Actual
GWB_PIP,2014,7,617059.0,611351.0,592.0,35.0,5081.0,17989.0,Actual
GWB_PIP,2014,8,623351.0,619053.0,519.0,52.0,3727.0,18731.0,Actual
GWB_PIP,2014,9,571675.0,569480.0,352.0,34.0,1809.0,15532.0,Actual
GWB_PIP,2014,10,609344.0,606738.0,427.0,35.0,2144.0,16759.0,Actual
GWB_PIP,2014,11,583001.0,580970.0,355.0,26.0,1650.0,15946.0,Actual
GWB_PIP,2014,12,607179.0,605145.0,340.0,25.0,1669.0,16920.0,Actual
GWB_PIP,2015,1,524794.0,522888.0,338.0,65.0,1503.0,14253.0,Actual
GWB_PIP,2015,2,484739.0,482921.0,315.0,45.0,1458.0,13307.0,Actual
GWB_PIP,2015,3,564077.0,561982.0,352.0,92.0,1651.0,15912.0,Actual
GWB_PIP,2015,4,592526.0,590491.0,381.0,54.0,1600.0,16420.0,Actual
GWB_PIP,2015,5,620767.0,618457.0,468.0,28.0,1814.0,19050.0,Actual
GWB_PIP,2015,6,629873.0,627130.0,442.0,36.0,2265.0,20042.0,Actual
GWB_PIP,2015,7,675924.0,669267.0,709.0,65.0,5883.0,23275.0,Actual
GWB_PIP,2015,8,694242.0,689472.0,668.0,59.0,4043.0,23767.0,Actual
GWB_PIP,2015,9,606845.0,604611.0,458.0,33.0,1743.0,19564.0,Actual
GWB_PIP,2015,10,646514.0,643800.0,426.0,38.0,2250.0,20330.0,Actual
GWB_PIP,2015,11,614201.0,611857.0,380.0,42.0,1922.0,19735.0,Actual
GWB_PIP,2015,12,615376.0,613073.0,416.0,37.0,1850.0,18881.0,Actual
GWB_PIP,2016,1,539484.0,537387.0,353.0,68.0,1676.0,15892.0,Actual
GWB_PIP,2016,2,535139.0,533045.0,375.0,66.0,1653.0,15716.0,Actual
GWB_PIP,2016,3,611324.0,609092.0,350.0,96.0,1786.0,18601.0,Actual
GWB_PIP,2016,4,596405.0,594175.0,415.0,69.0,1746.0,18933.0,Actual
GWB_PIP,2016,5,637674.0,635333.0,462.0,69.0,1810.0,22185.0,Actual
GWB_PIP,2016,6,633826.0,630863.0,450.0,25.0,2488.0,22975.0,Actual
GWB_PIP,2016,7,671499.0,665084.0,576.0,25.0,5814.0,26114.0,Actual
GWB_PIP,2016,8,685845.0,680873.0,649.0,59.0,4264.0,25483.0,Actual
GWB_PIP,2016,9,628340.0,625680.0,485.0,43.0,2132.0,23647.0,Actual
GWB_PIP,2016,10,627811.0,625029.0,515.0,55.0,2212.0,22669.0,Actual
GWB_PIP,2016,11,609476.0,607014.0,463.0,38.0,1961.0,22251.0,Actual
GWB_PIP,2016,12,599800.0,597601.0,375.0,26.0,1798.0,22348.0,Actual
GWB_PIP,2017,1,558858.0,556772.0,312.0,24.0,1750.0,20309.0,Actual
GWB_PIP,2017,2,503014.0,500974.0,324.0,46.0,1670.0,18358.0,Actual
GWB_PIP,2017,3,555598.0,553463.0,333.0,42.0,1760.0,20405.0,Actual
GWB_PIP,2017,4,587455.0,585339.0,314.0,41.0,1761.0,22526.0,Actual
GWB_PIP,2017,5,614365.0,611848.0,403.0,44.0,2070.0,23902.0,Actual
GWB_PIP,2017,6,629691.0,626434.0,558.0,51.0,2648.0,26452.0,Actual
GWB_PIP,2017,7,655450.0,649334.0,567.0,27.0,5522.0,30110.0,Actual
GWB_PIP,2017,8,672879.0,667865.0,561.0,46.0,4407.0,31756.0,Actual
GWB_PIP,2017,9,606488.0,603858.0,470.0,24.0,2136.0,28953.0,Actual
GWB_PIP,2017,10,589609.0,586444.0,549.0,21.0,2595.0,29509.0,Actual
GWB_PIP,2017,11,568532.0,565778.0,511.0,28.0,2215.0,29642.0,Actual
GWB_PIP,2017,12,555545.0,552973.0,580.0,45.0,1947.0,29321.0,Actual
