Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
GWB_Upper,2013,1,1772186.0,1447008.0,103363.0,198326.0,23489.0,35129.0,Actual
GWB_Upper,2013,2,1545172.0,1254638.0,94596.0,174842.0,21096.0,31350.0,Actual
GWB_Upper,2013,3,1814705.0,1496999.0,102072.0,191602.0,24032.0,36000.0,Actual
GWB_Upper,2013,4,1826291.0,1496070.0,107132.0,198201.0,24888.0,38093.0,Actual
GWB_Upper,2013,5,1945925.0,1600044.0,111825.0,208035.0,26021.0,41670.0,Actual
GWB_Upper,2013,6,1880829.0,1560298.0,104921.0,190459.0,25151.0,41361.0,Actual
GWB_Upper,2013,7,2030733.0,1691702.0,110968.0,201822.0,26241.0,44613.0,Actual
GWB_Upper,2013,8,1949601.0,1620997.0,112139.0,191082.0,25383.0,43398.0,Actual
GWB_Upper,2013,9,1770982.0,1464361.0,102720.0,180078.0,23823.0,40356.0,Actual
GWB_Upper,2013,10,1883947.0,1542129.0,113403.0,202271.0,26144.0,40371.0,Actual
GWB_Upper,2013,11,1727781.0,1431060.0,98647.0,175244.0,22830.0,37632.0,Actual
GWB_Upper,2013,12,1739946.0,1437562.0,99014.0,181096.0,22274.0,39390.0,Actual
GWB_Upper,2014,1,1572704.0,1272649.0,96805.0,182024.0,21226.0,40075.0,Actual
GWB_Upper,2014,2,1393831.0,1124592.0,87572.0,162080.0,19587.0,32931.0,Actual
GWB_Upper,2014,3,1825122.0,1504477.0,103800.0,192438.0,24407.0,39556.0,Actual
GWB_Upper,2014,4,1873593.0,1543558.0,106880.0,198716.0,24439.0,41393.0,Actual
GWB_Upper,2014,5,1985298.0,1649140.0,109745.0,199879.0,26534.0,45194.0,Actual
GWB_Upper,2014,6,1822046.0,1517748.0,102421.0,177275.0,24602.0,44766.0,Actual
GWB_Upper,2014,7,1801264.0,1498604.0,106481.0,171489.0,24690.0,43332.0,Actual
GWB_Upper,2014,8,1929879.0,1635642.0,104085.0,165286.0,24866.0,45812.0,Actual
GWB_Upper,2014,9,1776368.0,1472409.0,105472.0,174884.0,23603.0,42988.0,Actual
GWB_Upper,2014,10,1854087.0,1525038.0,113078.0,190795.0,25176.0,42152.0,Actual
GWB_Upper,2014,11,1833079.0,1537314.0,99158.0,173465.0,23142.0,41213.0,Actual
GWB_Upper,2014,12,1867787.0,1548731.0,107206.0,188886.0,22964.0,43147.0,Actual
GWB_Upper,2015,1,1658321.0,1368081.0,94463.0,174621.0,21156.0,37949.0,Actual
GWB_Upper,2015,2,1523669.0,1243038.0,92137.0,168144.0,20350.0,36001.0,Actual
GWB_Upper,2015,3,1743708.0,1418861.0,108045.0,193312.0,23490.0,42040.0,Actual
