Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
Goethals,2013,1,1068959.0,962190.0,41244.0,56836.0,8689.0,26452.0,Actual
Goethals,2013,2,947736.0,854167.0,36187.0,49565.0,7817.0,22966.0,Actual
Goethals,2013,3,1134529.0,1034280.0,38431.0,52469.0,9349.0,25914.0,Actual
Goethals,2013,4,1123174.0,1017343.0,40454.0,55591.0,9786.0,26893.0,Actual
Goethals,2013,5,1182806.0,1076043.0,41116.0,56041.0,9606.0,29241.0,Actual
Goethals,2013,6,1186320.0,1083832.0,39473.0,53393.0,9622.0,31708.0,Actual
Goethals,2013,7,1309880.0,1189012.0,43630.0,66859.0,10379.0,35280.0,Actual
Goethals,2013,8,1368812.0,1241481.0,44982.0,71879.0,10470.0,34271.0,Actual
Goethals,2013,9,1240948.0,1124392.0,42331.0,65351.0,8874.0,31670.0,Actual
Goethals,2013,10,1240313.0,1117146.0,44899.0,68420.0,9848.0,30907.0,Actual
Goethals,2013,11,1122564.0,1021910.0,38771.0,53873.0,8010.0,27232.0,Actual
Goethals,2013,12,1140219.0,1038184.0,39241.0,54613.0,8181.0,29098.0,Actual
Goethals,2014,1,975666.0,878738.0,37495.0,51734.0,7699.0,27548.0,Actual
Goethals,2014,2,876723.0,789584.0,33887.0,46066.0,7186.0,22834.0,Actual
Goethals,2014,3,1099805.0,995437.0,39355.0,56314.0,8699.0,28760.0,Actual
Goethals,2014,4,1156609.0,1051963.0,40886.0,54686.0,9074.0,29918.0,Actual
Goethals,2014,5,1249255.0,1138786.0,43614.0,56818.0,10037.0,33422.0,Actual
Goethals,2014,6,1226958.0,1114883.0,43275.0,58698.0,10102.0,34636.0,Actual
Goethals,2014,7,1270819.0,1154540.0,44509.0,61352.0,10418.0,35784.0,Actual
Goethals,2014,8,1318147.0,1208704.0,43004.0,55966.0,10473.0,35206.0,Actual
Goethals,2014,9,1184505.0,1074889.0,43470.0,56625.0,9521.0,34054.0,Actual
Goethals,2014,10,1193422.0,1080707.0,44347.0,57960.0,10408.0,33336.0,Actual
Goethals,2014,11,1139796.0,1045803.0,37373.0,47979.0,8641.0,30664.0,Actual
Goethals,2014,12,1184769.0,1083542.0,41039.0,51274.0,8914.0,33444.0,Actual
Goethals,2015,1,1025364.0,934463.0,35701.0,47067.0,8133.0,29560.0,Actual
Goethals,2015,2,979080.0,890153.0,35578.0,45046.0,8303.0,27616.0,Actual
Goethals,2015,3,1139980.0,1036220.0,42368.0,51637.0,9755.0,32346.0,Actual
Goethals,2015,4,1218600.0,1111197.0,43662.0,53610.0,10131.0,34599.0,Actual
Goethals,2015,5,1255932.0,1147791.0,43707.0,54111.0,10323.0,36985.0,Actual
Goethals,2015,6,1244082.0,1129225.0,46131.0,57827.0,10899.0,37683.0,Actual
Goethals,2015,7,1334481.0,1216797.0,47734.0,59199.0,10751.0,41051.0,Actual
Goethals,2015,8,1343397.0,1233125.0,44488.0,55735.0,10049.0,40890.0,Actual
Goethals,2015,9,1252046.0,1140655.0,44655.0,56750.0,9986.0,39917.0,Actual
Goethals,2015,10,1299405.0,1183866.0,46882.0,58176.0,10481.0,39561.0,Actual
Goethals,2015,11,1263763.0,1159648.0,43571.0,51562.0,8982.0,37172.0,Actual
Goethals,2015,12,1307038.0,1196600.0,45782.0,55076.0,9580.0,39965.0,Actual
Goethals,2016,1,1120404.0,1023846.0,41109.0,47105.0,8344.0,34584.0,Actual
Goethals,2016,2,1126553.0,1028548.0,41473.0,48050.0,8482.0,33797.0,Actual
Goethals,2016,3,1287266.0,1175259.0,47768.0,54322.0,9917.0,39178.0,Actual
Goethals,2016,4,1292835.0,1185117.0,45356.0,52411.0,9951.0,41777.0,Actual
Goethals,2016,5,1376413.0,1267726.0,44673.0,53451.0,10563.0,44312.0,Actual
Goethals,2016,6,1374100.0,1258240.0,47940.0,56934.0,10986.0,50485.0,Actual
Goethals,2016,7,1428957.0,1322578.0,44212.0,51410.0,10757.0,52076.0,Actual
Goethals,2016,8,1434492.0,1321535.0,47603.0,54099.0,11255.0,51783.0,Actual
Goethals,2016,9,1313677.0,1205452.0,46307.0,52102.0,9816.0,49301.0,Actual
Goethals,2016,10,1303599.0,1198114.0,44057.0,51497.0,9931.0,45902.0,Actual
Goethals,2016,11,1276940.0,1170694.0,44701.0,52008.0,9537.0,44404.0,Actual
Goethals,2016,12,1316571.0,1210299.0,45866.0,51097.0,9309.0,48521.0,Actual
Goethals,2017,1,1202508.0,1103786.0,41551.0,48022.0,9149.0,45883.0,Actual
Goethals,2017,2,1134782.0,1044948.0,39579.0,41869.0,8386.0,54680.0,Actual
Goethals,2017,3,1228811.0,1125476.0,44449.0,49204.0,9682.0,47114.0,Actual
Goethals,2017,4,1308801.0,1211667.0,42285.0,45626.0,9223.0,52405.0,Actual
Goethals,2017,5,1369561.0,1258418.0,47546.0,52429.0,11168.0,59829.0,Actual
Goethals,2017,6,1326189.0,1211490.0,47662.0,55760.0,11277.0,55571.0,Actual
Goethals,2017,7,1426336.0,1319924.0,44773.0,50347.0,11292.0,62573.0,Actual
Goethals,2017,8,1453376.0,1334953.0,49367.0,57433.0,11623.0,76208.0,Actual
Goethals,2017,9,1353060.0,1244706.0,46700.0,51923.0,9731.0,76777.0,Actual
Goethals,2017,10,1364580.0,1252654.0,47209.0,54233.0,10484.0,75833.0,Actual
Goethals,2017,11,1306292.0,1198359.0,45664.0,52620.0,9649.0,78164.0,Actual
Goethals,2017,12,1339165.0,1235335.0,44989.0,49508.0,9333.0,84758.0,Actual
Goethals,2018,1,1165272.0,1066042.0,42388.0,48016.0,8826.0,73566.0,Actual
Goethals,2018,2,1144779.0,1052472.0,39579.0,43860.0,8868.0,68061.0,Actual
