Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
Holland,2013,1,1283310.0,1233012.0,33171.0,587.0,16540.0,25306.0,Actual
Holland,2013,2,1157853.0,1111849.0,30210.0,560.0,15234.0,22659.0,Actual
Holland,2013,3,1369232.0,1317115.0,33661.0,600.0,17856.0,27109.0,Actual
Holland,2013,4,1355016.0,1299892.0,35583.0,597.0,18944.0,28369.0,Actual
Holland,2013,5,1409980.0,1351918.0,37050.0,610.0,20402.0,31772.0,Actual
Holland,2013,6,1386529.0,1331205.0,35603.0,637.0,19084.0,32694.0,Actual
Holland,2013,7,1403023.0,1344131.0,37276.0,606.0,21010.0,33753.0,Actual
Holland,2013,8,1406358.0,1348026.0,37000.0,664.0,20668.0,32242.0,Actual
Holland,2013,9,1323592.0,1271663.0,33833.0,483.0,17613.0,29777.0,Actual
Holland,2013,10,1396817.0,1338370.0,38513.0,597.0,19337.0,29949.0,Actual
Holland,2013,11,1326572.0,1274789.0,34609.0,581.0,16593.0,27912.0,Actual
Holland,2013,12,1339287.0,1288600.0,33885.0,513.0,16289.0,30585.0,Actual
Holland,2014,1,1182062.0,1132938.0,34095.0,510.0,14519.0,26108.0,Actual
Holland,2014,2,1061542.0,1017220.0,30419.0,552.0,13351.0,23379.0,Actual
Holland,2014,3,1314376.0,1261875.0,35899.0,429.0,16173.0,27556.0,Actual
Holland,2014,4,1276855.0,1221890.0,36561.0,489.0,17915.0,27472.0,Actual
Holland,2014,5,1360976.0,1303867.0,37702.0,550.0,18857.0,33260.0,Actual
Holland,2014,6,1347706.0,1289702.0,38000.0,558.0,19446.0,33878.0,Actual
Holland,2014,7,1366826.0,1306025.0,39602.0,585.0,20614.0,32534.0,Actual
Holland,2014,8,1397065.0,1337589.0,38525.0,596.0,20355.0,33825.0,Actual
Holland,2014,9,1313770.0,1256700.0,38345.0,589.0,18136.0,31190.0,Actual
Holland,2014,10,1339190.0,1279894.0,39771.0,648.0,18877.0,30275.0,Actual
Holland,2014,11,1278995.0,1229097.0,33915.0,536.0,15447.0,28845.0,Actual
Holland,2014,12,1331235.0,1278468.0,36550.0,573.0,15644.0,31031.0,Actual
Holland,2015,1,1146262.0,1099574.0,32759.0,516.0,13413.0,25889.0,Actual
Holland,2015,2,1103138.0,1056817.0,32175.0,476.0,13670.0,25621.0,Actual
Holland,2015,3,1258086.0,1205470.0,36232.0,606.0,15778.0,30015.0,Actual
Holland,2015,4,1302519.0,1248189.0,36736.0,507.0,17087.0,31687.0,Actual
Holland,2015,5,1375465.0,1320456.0,36610.0,527.0,17872.0,37275.0,Actual
Holland,2015,6,1330957.0,1273302.0,38805.0,584.0,18266.0,35611.0,Actual
Holland,2015,7,1354588.0,1295057.0,39126.0,616.0,19789.0,38579.0,Actual
Holland,2015,8,1364192.0,1306637.0,38011.0,632.0,18912.0,38046.0,Actual
Holland,2015,9,1262846.0,1207708.0,37498.0,605.0,17035.0,34946.0,Actual
Holland,2015,10,1329328.0,1271702.0,39341.0,602.0,17683.0,35003.0,Actual
Holland,2015,11,1267025.0,1215957.0,35715.0,503.0,14850.0,32370.0,Actual
Holland,2015,12,1314614.0,1261524.0,37604.0,548.0,14938.0,34574.0,Actual
Holland,2016,1,1143834.0,1096868.0,33547.0,582.0,12837.0,29914.0,Actual
Holland,2016,2,1154912.0,1106842.0,34250.0,464.0,13356.0,30203.0,Actual
Holland,2016,3,1307874.0,1253854.0,38117.0,541.0,15362.0,34545.0,Actual
Holland,2016,4,1290454.0,1238334.0,35545.0,484.0,16091.0,35010.0,Actual
Holland,2016,5,1337951.0,1283515.0,36620.0,532.0,17284.0,38322.0,Actual
Holland,2016,6,1307961.0,1251153.0,38471.0,557.0,17780.0,41224.0,Actual
Holland,2016,7,1324314.0,1269235.0,36381.0,548.0,18150.0,41858.0,Actual
Holland,2016,8,1329611.0,1271073.0,39333.0,619.0,18586.0,41062.0,Actual
Holland,2016,9,1274144.0,1219508.0,37799.0,547.0,16290.0,40633.0,Actual
Holland,2016,10,1317156.0,1262770.0,37012.0,527.0,16847.0,40382.0,Actual
Holland,2016,11,1271220.0,1219501.0,36774.0,497.0,14448.0,38677.0,Actual
Holland,2016,12,1305930.0,1254277.0,37161.0,464.0,14028.0,42219.0,Actual
Holland,2017,1,1171765.0,1123195.0,35136.0,452.0,12982.0,37199.0,Actual
Holland,2017,2,1081274.0,1036426.0,32612.0,438.0,11798.0,35146.0,Actual
Holland,2017,3,1202299.0,1150656.0,37279.0,494.0,13870.0,38601.0,Actual
Holland,2017,4,1232657.0,1183724.0,33950.0,512.0,14471.0,43240.0,Actual
Holland,2017,5,1271683.0,1216087.0,38503.0,511.0,16582.0,46089.0,Actual
Holland,2017,6,1271115.0,1214244.0,39253.0,544.0,17074.0,50239.0,Actual
Holland,2017,7,1288208.0,1234463.0,36035.0,495.0,17215.0,55917.0,Actual
Holland,2017,8,1299780.0,1242205.0,39629.0,498.0,17448.0,59207.0,Actual
Holland,2017,9,1247725.0,1194181.0,37511.0,290.0,15743.0,61937.0,Actual
Holland,2017,10,1297407.0,1241690.0,38758.0,286.0,16673.0,66302.0,Actual
Holland,2017,11,1240604.0,1189995.0,37324.0,256.0,13029.0,72706.0,Actual
Holland,2017,12,1267026.0,1220027.0,34684.0,252.0,12063.0,77682.0,Actual
Holland,2018,1,1133254.0,1086419.0,35622.0,303.0,10910.0,67434.0,Actual
Holland,2018,2,1083028.0,1039422.0,32537.0,257.0,10812.0,60637.0,Actual
Holland,2018,3,1221079.0,1171385.0,36777.0,322.0,12595.0,67024.0,Actual
Holland,2018,4,1217676.0,1168342.0,35535.0,218.0,13581.0,67816.0,Actual
Holland,2018,5,1303068.0,1248648.0,38851.0,293.0,15276.0,76266.0,Actual
Holland,2018,6,1297741.0,1243676.0,37838.0,323.0,15904.0,80907.0,Actual
Holland,2018,7,1304644.0,1251774.0,36830.0,315.0,15725.0,86391.0,Actual
Holland,2018,8,1327294.0,1270737.0,39494.0,316.0,16747.0,88134.0,Actual
Holland,2018,9,1261964.0,1212724.0,34574.0,358.0,14308.0,86101.0,Actual
Holland,2018,10,1335361.0,1278950.0,39898.0,411.0,16102.0,92062.0,Actual
Holland,2018,11,1255408.0,1205211.0,36328.0,353.0,13516.0,81238.0,Actual
Holland,2018,12,1330588.0,1282520.0,34737.0,322.0,13009.0,84195.0,Actual
Holland,2019,1,1209966.0,1161741.0,36313.0,303.0,11609.0,79014.0,Actual
Holland,2019,2,1128086.0,1083719.0,33006.0,268.0,11093.0,76468.0,Actual
Holland,2019,3,1266571.0,1217840.0,35560.0,328.0,12843.0,81687.0,Actual
Holland,2019,4,1300208.0,1248890.0,36801.0,359.0,14158.0,85220.0,Actual
Holland,2019,5,1362005.0,1308409.0,38734.0,325.0,14537.0,93788.0,Actual
Holland,2019,6,1330235.0,1278609.0,36720.0,375.0,14531.0,95848.0,Actual
Holland,2019,7,1330571.0,1277907.0,37343.0,337.0,14984.0,100984.0,Actual
Holland,2019,8,1357102.0,1304354.0,38041.0,354.0,14353.0,102459.0,Actual
Holland,2019,9,1313449.0,1263253.0,36329.0,322.0,13545.0,100707.0,Actual
Holland,2019,10,1367121.0,1313534.0,38801.0,392.0,14394.0,102859.0,Actual
Holland,2019,11,1312946.0,1266028.0,35090.0,390.0,11438.0,98841.0,Actual
Holland,2019,12,1356034.0,1308498.0,35876.0,312.0,11348.0,105835.0,Actual
Holland,2020,1,1250706.0,1205057.0,35434.0,286.0,9929.0,95301.0,Actual
Holland,2020,2,1221499.0,1179009.0,33138.0,272.0,9080.0,93171.0,Actual
Holland,2020,3,909070.0,872813.0,29820.0,242.0,6195.0,89109.0,Actual
Holland,2020,4,445082.0,426493.0,16772.0,148.0,1669.0,104021.0,Actual
Holland,2020,5,689010.0,667543.0,19431.0,163.0,1873.0,162891.0,Actual
Holland,2020,6,837446.0,809884.0,24476.0,180.0,2906.0,195387.0,Actual
Holland,2020,7,971196.0,940543.0,27157.0,196.0,3300.0,230180.0,Actual
Holland,2020,8,1043546.0,1012757.0,26957.0,213.0,3619.0,241625.0,Actual
Holland,2020,9,1023213.0,992203.0,27273.0,219.0,3518.0,228228.0,Actual
Holland,2020,10,1067144.0,1034668.0,28313.0,225.0,3938.0,230643.0,Actual
Holland,2020,11,985005.0,954977.0,26088.0,216.0,3724.0,217384.0,Actual
Holland,2020,12,996721.0,966217.0,26971.0,220.0,3313.0,163761.0,Actual
Holland,2021,1,989988.0,963279.0,24215.0,126.0,2368.0,42654.0,Actual
Holland,2021,2,845361.0,820639.0,22372.0,199.0,2151.0,34523.0,Actual
Holland,2021,3,1111118.0,1082540.0,25590.0,79.0,2909.0,40490.0,Actual
Holland,2021,4,1120903.0,1093580.0,24328.0,100.0,2895.0,37725.0,Actual
Holland,2021,5,1203078.0,1174731.0,25596.0,203.0,2548.0,40156.0,Actual
Holland,2021,6,1236678.0,1204116.0,29201.0,359.0,3002.0,40699.0,Actual
Holland,2021,7,1234735.0,1201737.0,27973.0,151.0,4874.0,41202.0,Actual
Holland,2021,8,1246009.0,1211681.0,30139.0,126.0,4063.0,42251.0,Actual
Holland,2021,9,1224037.0,1189889.0,30819.0,176.0,3153.0,42496.0,Actual
Holland,2021,10,1297802.0,1263269.0,31012.0,117.0,3404.0,46926.0,Actual
Holland,2021,11,1261555.0,1226805.0,31191.0,158.0,3401.0,47567.0,Actual
Holland,2021,12,1250311.0,1215364.0,31413.0,115.0,3419.0,47905.0,Actual
Holland,2022,1,1044642.0,1013607.0,28166.0,56.0,2813.0,44247.0,Actual
Holland,2022,2,1084198.0,1054205.0,27325.0,61.0,2607.0,42987.0,Actual
Holland,2022,3,1230098.0,1194854.0,31668.0,71.0,3505.0,48053.0,Actual
Holland,2022,4,1221477.0,1188429.0,29448.0,68.0,3532.0,45897.0,Actual
Holland,2022,5,1272859.0,1238209.0,30774.0,63.0,3813.0,49210.0,Actual
Holland,2022,6,1261214.0,1225393.0,31731.0,60.0,4030.0,50024.0,Actual
Holland,2022,7,1269231.0,1235817.0,29429.0,66.0,3919.0,53259.0,Actual
Holland,2022,8,1267302.0,1231615.0,31539.0,60.0,4088.0,55580.0,Actual
Holland,2022,9,1251204.0,1215551.0,31537.0,70.0,4046.0,52622.0,Actual
Holland,2022,10,1273745.0,1238376.0,31119.0,47.0,4203.0,53875.0,Actual
Holland,2022,11,1243470.0,1208795.0,30792.0,54.0,3829.0,51001.0,Actual
Holland,2022,12,1289552.0,1254687.0,31207.0,82.0,3576.0,54669.0,Actual
Holland,2023,1,1204339.0,1170217.0,30748.0,98.0,3276.0,53379.0,Actual
Holland,2023,2,1160193.0,1126813.0,29997.0,98.0,3285.0,52866.0,Actual
Holland,2023,3,1325315.0,1281823.0,38887.0,173.0,4432.0,42773.0,Actual
Holland,2023,4,1311691.0,1272587.0,34352.0,173.0,4579.0,43252.0,Actual
Holland,2023,5,1388869.0,1343776.0,39525.0,669.0,4899.0,44576.0,Actual
Holland,2023,6,1355566.0,1310802.0,39104.0,669.0,4991.0,46677.0,Actual
Holland,2023,7,1333688.0,1293799.0,34748.0,524.0,4617.0,50768.0,Actual
Holland,2023,8,1339133.0,1295620.0,38348.0,466.0,4699.0,51221.0,Actual
Holland,2023,9,1289110.0,1247448.0,36642.0,567.0,4453.0,51178.0,Actual
Holland,2023,10,1331335.0,1286795.0,39041.0,460.0,5039.0,51110.0,Actual
