Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
Lincoln,2013,1,1474388.0,1219523.0,69919.0,12700.0,172246.0,31087.0,Actual
Lincoln,2013,2,1325372.0,1097250.0,63289.0,11299.0,153534.0,27962.0,Actual
Lincoln,2013,3,1587688.0,1326952.0,70729.0,13449.0,176558.0,32761.0,Actual
Lincoln,2013,4,1565983.0,1296866.0,73722.0,14222.0,181173.0,32777.0,Actual
Lincoln,2013,5,1634667.0,1356218.0,76787.0,15133.0,186529.0,37343.0,Actual
Lincoln,2013,6,1597360.0,1335536.0,71323.0,14845.0,175656.0,36107.0,Actual
Lincoln,2013,7,1579328.0,1306647.0,71813.0,15410.0,185458.0,37958.0,Actual
Lincoln,2013,8,1655961.0,1378856.0,75345.0,15606.0,186154.0,38446.0,Actual
Lincoln,2013,9,1562146.0,1303675.0,72303.0,14481.0,171687.0,36800.0,Actual
Lincoln,2013,10,1634586.0,1351104.0,79135.0,16335.0,188012.0,39077.0,Actual
Lincoln,2013,11,1559777.0,1301802.0,71721.0,14379.0,171875.0,35233.0,Actual
Lincoln,2013,12,1568694.0,1305674.0,70745.0,13319.0,178956.0,38189.0,Actual
Lincoln,2014,1,1409508.0,1159422.0,69697.0,12326.0,168063.0,36275.0,Actual
Lincoln,2014,2,1277459.0,1050042.0,64278.0,10879.0,152260.0,32622.0,Actual
Lincoln,2014,3,1574585.0,1312849.0,72369.0,13280.0,176087.0,36535.0,Actual
Lincoln,2014,4,1594801.0,1322246.0,74181.0,15644.0,182730.0,37986.0,Actual
Lincoln,2014,5,1666298.0,1389716.0,74827.0,15767.0,185988.0,41506.0,Actual
Lincoln,2014,6,1635328.0,1363822.0,73933.0,16260.0,181313.0,42195.0,Actual
Lincoln,2014,7,1603049.0,1326877.0,72585.0,16409.0,187178.0,40229.0,Actual
Lincoln,2014,8,1643217.0,1369748.0,71874.0,15582.0,186013.0,41755.0,Actual
Lincoln,2014,9,1576301.0,1306417.0,73301.0,15892.0,180691.0,40712.0,Actual
Lincoln,2014,10,1658428.0,1368904.0,79223.0,16871.0,193430.0,40460.0,Actual
Lincoln,2014,11,1548544.0,1294683.0,67735.0,14323.0,171803.0,38230.0,Actual
Lincoln,2014,12,1603447.0,1332199.0,71466.0,14535.0,185247.0,40404.0,Actual
Lincoln,2015,1,1401488.0,1160866.0,63060.0,12284.0,165278.0,34692.0,Actual
Lincoln,2015,2,1344534.0,1112701.0,63350.0,11244.0,157239.0,34064.0,Actual
Lincoln,2015,3,1582276.0,1311351.0,74650.0,13653.0,182622.0,40156.0,Actual
Lincoln,2015,4,1596498.0,1320491.0,74677.0,15734.0,185596.0,39859.0,Actual
Lincoln,2015,5,1669186.0,1395215.0,74376.0,16620.0,182975.0,44632.0,Actual
Lincoln,2015,6,1610822.0,1329203.0,78442.0,17140.0,186037.0,44975.0,Actual
Lincoln,2015,7,1614447.0,1330841.0,76425.0,17028.0,190153.0,47652.0,Actual
Lincoln,2015,8,1659999.0,1384856.0,73336.0,16939.0,184868.0,50718.0,Actual
Lincoln,2015,9,1555832.0,1285083.0,73309.0,17362.0,180078.0,47275.0,Actual
Lincoln,2015,10,1674385.0,1390624.0,78330.0,17319.0,188112.0,47531.0,Actual
Lincoln,2015,11,1590190.0,1327395.0,71639.0,16112.0,175044.0,42927.0,Actual
Lincoln,2015,12,1631931.0,1357457.0,71655.0,15951.0,186868.0,50066.0,Actual
Lincoln,2016,1,1420012.0,1179345.0,64641.0,13010.0,163016.0,39737.0,Actual
Lincoln,2016,2,1451290.0,1204833.0,68154.0,12933.0,165370.0,49359.0,Actual
Lincoln,2016,3,1630407.0,1347730.0,77136.0,16115.0,189426.0,44900.0,Actual
Lincoln,2016,4,1604089.0,1334841.0,72885.0,15904.0,180459.0,47565.0,Actual
Lincoln,2016,5,1687954.0,1413596.0,73789.0,16113.0,184456.0,52643.0,Actual
Lincoln,2016,6,1646940.0,1368607.0,76188.0,16764.0,185381.0,54843.0,Actual
Lincoln,2016,7,1643870.0,1377526.0,68816.0,15989.0,181539.0,55255.0,Actual
Lincoln,2016,8,1658698.0,1373425.0,76300.0,17161.0,191812.0,57123.0,Actual
Lincoln,2016,9,1594523.0,1324441.0,73566.0,16107.0,180409.0,54346.0,Actual
Lincoln,2016,10,1657184.0,1383619.0,73758.0,16097.0,183710.0,53445.0,Actual
Lincoln,2016,11,1586461.0,1322573.0,71245.0,16151.0,176492.0,52233.0,Actual
Lincoln,2016,12,1629491.0,1362347.0,70520.0,15158.0,181466.0,56138.0,Actual
Lincoln,2017,1,1479737.0,1228194.0,66875.0,14322.0,170346.0,50384.0,Actual
Lincoln,2017,2,1387010.0,1153453.0,63181.0,13743.0,156633.0,47849.0,Actual
Lincoln,2017,3,1548623.0,1283209.0,71478.0,15398.0,178538.0,53074.0,Actual
Lincoln,2017,4,1608477.0,1350422.0,65851.0,16472.0,175732.0,58416.0,Actual
Lincoln,2017,5,1647122.0,1370134.0,71957.0,17874.0,187157.0,62144.0,Actual
Lincoln,2017,6,1634891.0,1358222.0,72543.0,17942.0,186184.0,65025.0,Actual
Lincoln,2017,7,1619943.0,1352605.0,65382.0,16225.0,185731.0,72043.0,Actual
Lincoln,2017,8,1649198.0,1363452.0,74247.0,18174.0,193325.0,81502.0,Actual
Lincoln,2017,9,1610040.0,1343010.0,71865.0,16860.0,178305.0,81652.0,Actual
Lincoln,2017,10,1662992.0,1381436.0,76280.0,17491.0,187785.0,84814.0,Actual
Lincoln,2017,11,1582289.0,1310582.0,72697.0,17845.0,181165.0,90820.0,Actual
Lincoln,2017,12,1608888.0,1346254.0,67022.0,15583.0,180029.0,94629.0,Actual
Lincoln,2018,1,1467653.0,1210797.0,68386.0,14293.0,174177.0,85249.0,Actual
Lincoln,2018,2,1385645.0,1146343.0,64453.0,13657.0,161192.0,76026.0,Actual
Lincoln,2018,3,1573456.0,1308374.0,69852.0,15907.0,179323.0,85384.0,Actual
Lincoln,2018,4,1605361.0,1336760.0,70385.0,16277.0,181939.0,89152.0,Actual
Lincoln,2018,5,1657619.0,1375807.0,74673.0,18435.0,188704.0,94676.0,Actual
Lincoln,2018,6,1632375.0,1358583.0,73543.0,17409.0,182840.0,101281.0,Actual
Lincoln,2018,7,1639848.0,1366572.0,71759.0,16840.0,184677.0,119923.0,Actual
Lincoln,2018,8,1624844.0,1338140.0,76350.0,18406.0,191948.0,123853.0,Actual
Lincoln,2018,9,1574976.0,1317163.0,67939.0,16377.0,173497.0,114466.0,Actual
Lincoln,2018,10,1652776.0,1362216.0,77725.0,18947.0,193888.0,115377.0,Actual
Lincoln,2018,11,1555649.0,1291219.0,69220.0,17258.0,177952.0,103013.0,Actual
Lincoln,2018,12,1589869.0,1330127.0,64856.0,15148.0,179738.0,102899.0,Actual
Lincoln,2019,1,1438391.0,1180091.0,67157.0,14310.0,176833.0,93879.0,Actual
Lincoln,2019,2,1357207.0,1119844.0,62783.0,13306.0,161274.0,93814.0,Actual
Lincoln,2019,3,1585107.0,1317523.0,69032.0,15812.0,182740.0,110462.0,Actual
Lincoln,2019,4,1567240.0,1292653.0,70877.0,17241.0,186469.0,112960.0,Actual
Lincoln,2019,5,1628922.0,1344294.0,74405.0,19389.0,190834.0,125034.0,Actual
Lincoln,2019,6,1584281.0,1317860.0,69263.0,17935.0,179223.0,129533.0,Actual
Lincoln,2019,7,1536618.0,1262364.0,69042.0,17997.0,187215.0,139684.0,Actual
Lincoln,2019,8,1609042.0,1329733.0,70794.0,18300.0,190215.0,148871.0,Actual
Lincoln,2019,9,1576712.0,1313111.0,69783.0,16629.0,177189.0,148913.0,Actual
Lincoln,2019,10,1588721.0,1304263.0,73450.0,18250.0,192758.0,148335.0,Actual
Lincoln,2019,11,1522676.0,1261677.0,67375.0,16408.0,177216.0,141654.0,Actual
Lincoln,2019,12,1539284.0,1273817.0,66194.0,15019.0,184254.0,151372.0,Actual
Lincoln,2020,1,1432530.0,1170841.0,67687.0,14387.0,179615.0,132971.0,Actual
Lincoln,2020,2,1393271.0,1148542.0,63702.0,13945.0,167082.0,99365.0,Actual
Lincoln,2020,3,1026043.0,813745.0,54224.0,14731.0,143343.0,85248.0,Actual
Lincoln,2020,4,477458.0,383971.0,24709.0,9749.0,59029.0,79134.0,Actual
Lincoln,2020,5,726692.0,609548.0,33031.0,11651.0,72462.0,127786.0,Actual
Lincoln,2020,6,972034.0,812672.0,44208.0,14159.0,100995.0,168200.0,Actual
Lincoln,2020,7,1174071.0,989456.0,52092.0,14204.0,118319.0,212458.0,Actual
Lincoln,2020,8,1311846.0,1130222.0,52289.0,14051.0,115284.0,242958.0,Actual
Lincoln,2020,9,1301440.0,1123702.0,53039.0,14155.0,110544.0,231856.0,Actual
Lincoln,2020,10,1387270.0,1198572.0,57157.0,16303.0,115238.0,231256.0,Actual
Lincoln,2020,11,1236769.0,1067069.0,51540.0,13695.0,104465.0,139449.0,Actual
Lincoln,2020,12,1243134.0,1065246.0,54335.0,13950.0,109603.0,138233.0,Actual
Lincoln,2021,1,1196872.0,1028403.0,51145.0,13013.0,104311.0,131519.0,Actual
Lincoln,2021,2,1032133.0,884903.0,46194.0,10657.0,90379.0,112839.0,Actual
Lincoln,2021,3,1400125.0,1212214.0,58170.0,14127.0,115614.0,146174.0,Actual
Lincoln,2021,4,1452684.0,1264320.0,58306.0,14759.0,115299.0,149742.0,Actual
Lincoln,2021,5,1544681.0,1360862.0,56596.0,13649.0,113574.0,162458.0,Actual
Lincoln,2021,6,1591763.0,1395132.0,62542.0,13839.0,120250.0,171560.0,Actual
Lincoln,2021,7,1604648.0,1409921.0,60068.0,13483.0,121176.0,175205.0,Actual
Lincoln,2021,8,1606606.0,1406138.0,62536.0,14124.0,123808.0,176499.0,Actual
Lincoln,2021,9,1587710.0,1392837.0,61460.0,12916.0,120497.0,172469.0,Actual
Lincoln,2021,10,1699251.0,1495687.0,64773.0,13719.0,125072.0,183238.0,Actual
Lincoln,2021,11,1610170.0,1409039.0,63818.0,13465.0,123848.0,169276.0,Actual
Lincoln,2021,12,1575033.0,1372296.0,63975.0,13261.0,125501.0,164528.0,Actual
Lincoln,2022,1,1317758.0,1135056.0,56814.0,11181.0,114707.0,143612.0,Actual
Lincoln,2022,2,1431504.0,1250149.0,57750.0,11269.0,112336.0,154209.0,Actual
Lincoln,2022,3,1695474.0,1481852.0,68815.0,13658.0,131149.0,180695.0,Actual
Lincoln,2022,4,1671000.0,1466856.0,65629.0,13154.0,125361.0,176192.0,Actual
Lincoln,2022,5,1721780.0,1512587.0,67835.0,13753.0,127605.0,189761.0,Actual
Lincoln,2022,6,1720366.0,1502968.0,72608.0,14376.0,130414.0,206482.0,Actual
Lincoln,2022,7,1706027.0,1498193.0,67631.0,13128.0,127075.0,215552.0,Actual
Lincoln,2022,8,1756785.0,1531902.0,74418.0,14244.0,136221.0,222209.0,Actual
Lincoln,2022,9,1679573.0,1463702.0,72624.0,13909.0,129338.0,212054.0,Actual
Lincoln,2022,10,1713141.0,1493928.0,73470.0,13902.0,131841.0,206151.0,Actual
Lincoln,2022,11,1623978.0,1411185.0,70860.0,13062.0,128871.0,193302.0,Actual
Lincoln,2022,12,1650502.0,1433393.0,72518.0,12947.0,131644.0,106627.0,Actual
Lincoln,2023,1,1545113.0,1333452.0,72881.0,12886.0,125894.0,56458.0,Actual
Lincoln,2023,2,1409284.0,1212408.0,67753.0,11929.0,117194.0,51874.0,Actual
Lincoln,2023,3,1635843.0,1404622.0,80028.0,13543.0,137650.0,43137.0,Actual
Lincoln,2023,4,1566840.0,1350572.0,72119.0,13535.0,130614.0,42309.0,Actual
Lincoln,2023,5,1712414.0,1476545.0,81577.0,14651.0,139641.0,45738.0,Actual
Lincoln,2023,6,1637943.0,1403949.0,81982.0,14263.0,137749.0,45092.0,Actual
Lincoln,2023,7,1623962.0,1403780.0,73058.0,13160.0,133964.0,50105.0,Actual
Lincoln,2023,8,1690258.0,1448787.0,83124.0,15204.0,143143.0,52224.0,Actual
Lincoln,2023,9,1609030.0,1382148.0,78850.0,14273.0,133759.0,53137.0,Actual
Lincoln,2023,10,1666842.0,1424032.0,83218.0,15533.0,144059.0,52308.0,Actual
Lincoln,2023,11,1570211.0,1341203.0,78148.0,15334.0,135526.0,47678.0,Actual
Lincoln,2023,12,1586713.0,1364413.0,74535.0,13197.0,134568.0,50020.0,Actual
Lincoln,2024,1,1448368.0,1225543.0,75717.0,11873.0,135235.0,42579.0,Actual
Lincoln,2024,2,1429162.0,1217559.0,71458.0,11292.0,128853.0,42968.0,Actual
Lincoln,2024,3,1596104.0,1368752.0,74272.0,13053.0,140027.0,46490.0,Actual
Lincoln,2024,4,1577322.0,1345656.0,76963.0,14321.0,140382.0,46415.0,Actual
Lincoln,2024,5,1680351.0,1441261.0,81155.0,15208.0,142727.0,50837.0,Actual
Lincoln,2024,6,1623174.0,1399174.0,75957.0,13878.0,134165.0,51873.0,Actual
Lincoln,2024,7,1595776.0,1363933.0,77420.0,13606.0,140817.0,52671.0,Actual
Lincoln,2024,8,1646409.0,1410989.0,80132.0,15091.0,140197.0,53496.0,Actual
Lincoln,2024,9,1624570.0,1399025.0,79775.0,13909.0,131861.0,55918.0,Actual
Lincoln,2024,10,1682704.0,1436006.0,85775.0,15383.0,145540.0,55764.0,Actual
Lincoln,2024,11,1544306.0,1324217.0,75299.0,13230.0,131560.0,51512.0,Actual
Lincoln,2024,12,1573824.0,1348482.0,77158.0,11400.0,136784.0,52734.0,Actual
Lincoln,2025,1,1329825.0,1110491.0,74479.0,10601.0,134254.0,41136.0,Actual
Lincoln,2025,2,1261871.0,1055381.0,70284.0,10058.0,126148.0,40472.0,Actual
Lincoln,2025,3,1502482.0,1274331.0,78225.0,12153.0,137773.0,47472.0,Actual
Lincoln,2025,4,1488537.0,1256524.0,78968.0,12571.0,140474.0,37264.0,Actual
Lincoln,2025,5,1638595.0,1404782.0,78041.0,14724.0,141048.0,90175.0,Actual
Lincoln,2025,6,1546178.6335948384,1303420.9840186592,70009.59201981136,14826.511953805091,157921.54560256275,88416.08606362059,Forecast_Prophet
Lincoln,2025,7,1574947.180522084,1327672.7275947016,71312.20621303467,15102.377365241233,160859.86934910665,90061.175619108,Forecast_Prophet
Lincoln,2025,8,1601136.2895064757,1349750.017670586,72498.02575258995,15353.508204188227,163534.73787911172,91558.76358441958,Forecast_Prophet
Lincoln,2025,9,1548871.3668322975,1305690.9448949834,70131.51658355622,14852.332929898115,158196.57242385976,88570.06628847729,Forecast_Prophet
Lincoln,2025,10,1609200.0367550058,1356547.7169436126,72863.1450491281,15430.832545874948,164358.3422163904,92019.87781483917,Forecast_Prophet
Lincoln,2025,11,1511811.6913503152,1274449.820723043,68453.48747067945,14496.962787277369,154411.42036931543,86450.86001715108,Forecast_Prophet
Lincoln,2025,12,1520611.1642333309,1281867.7330876444,68851.91976895601,14581.342099636566,155310.16927709384,86954.04570012118,Forecast_Prophet
Lincoln,2026,1,1371318.3799184079,1156014.650131621,62092.075405378884,13149.753793364525,140061.9005880436,78416.94437181199,Forecast_Prophet
Lincoln,2026,2,1287549.2960012255,1085397.7243655347,58299.085862327134,12346.480939199047,131506.00483416478,73626.72520038793,Forecast_Prophet
Lincoln,2026,3,1482799.924730538,1249993.0441423503,67139.86050630838,14218.76510995657,151448.25497192278,84791.86228003445,Forecast_Prophet
Lincoln,2026,4,1435717.7216540263,1210302.9784989816,65008.02026666099,13767.287621160602,146639.43526722313,82099.53163412504,Forecast_Prophet
Lincoln,2026,5,1533006.4299326306,1292316.8811122754,69413.16636474394,14700.201946143417,156576.1805094679,87662.8518206033,Forecast_Prophet
Lincoln,2026,6,1501678.4640388775,1265907.559934682,67994.66395927935,14399.793926837,153376.44621807922,85871.4054324067,Forecast_Prophet
Lincoln,2026,7,1528126.03989344,1288202.736310981,69192.18664861185,14653.403238876937,156077.71369497024,87383.7734681067,Forecast_Prophet
Lincoln,2026,8,1555293.2342940953,1311104.5475825544,70422.29302505993,14913.913068582819,158852.48061789814,88937.2918947912,Forecast_Prophet
Lincoln,2026,9,1504128.001411054,1267972.5078926096,68105.57683075311,14423.282865528017,153626.6338221635,86011.47883816247,Forecast_Prophet
Lincoln,2026,10,1563030.246518179,1317626.8108368546,70772.61805057204,14988.104304792318,159642.71332596013,89379.72223486737,Forecast_Prophet
Lincoln,2026,11,1467634.047367381,1237208.2841109475,66453.16308096074,14073.337500798629,149899.26267467428,83924.62256462485,Forecast_Prophet
Lincoln,2026,12,1476184.6771058596,1244416.422928514,66840.32798318911,14155.330623246171,150772.59557091037,84413.5784966427,Forecast_Prophet
Lincoln,2027,1,1324883.6981412687,1116870.4417591156,59989.55435370127,12704.485472175,135319.21655627695,75761.64133557808,Forecast_Prophet
Lincoln,2027,2,1244965.9557351961,1049500.177946009,56370.95012555641,11938.143642479761,127156.68402115101,71191.65580023458,Forecast_Prophet
Lincoln,2027,3,1436884.7130257809,1211286.7464861108,65060.86059704198,13778.478056177208,146758.627886451,82166.26442121618,Forecast_Prophet
Lincoln,2027,4,1390744.7923877225,1172391.020304216,62971.68606732629,13336.036238638126,142046.04977754207,79527.81689292613,Forecast_Prophet
Lincoln,2027,5,1486953.5609321499,1253494.539032739,67327.9334556787,14258.594878300848,151872.49356543136,85029.38221977443,Forecast_Prophet
Lincoln,2027,6,1457158.1701014799,1228377.1710961252,65978.82468467196,13972.88292450665,148829.29139617618,83325.57401628191,Forecast_Prophet
Lincoln,2027,7,1481314.8346530767,1248741.120510719,67072.61694972527,14204.524384268385,151296.5728083642,84706.93945853888,Forecast_Prophet
Lincoln,2027,8,1509453.3654013947,1272461.763546343,68346.70457124835,14474.348487019355,154170.54879678422,86316.00241044554,Forecast_Prophet
Lincoln,2027,9,1459384.4443298175,1230253.9093218038,66079.62839975613,13994.23096330483,149056.6756449527,83452.88042803608,Forecast_Prophet
Lincoln,2027,10,1516858.1665047088,1278703.9744596474,68681.98737296808,14545.35410673781,154926.8505653555,86739.43571718606,Forecast_Prophet
Lincoln,2027,11,1423471.4767932312,1199979.4543083261,64453.52120177245,13649.856755235583,145388.6445278971,81399.24706412628,Forecast_Prophet
Lincoln,2027,12,1431727.5912770643,1206939.3182146517,64827.35071546723,13729.025731851136,146231.89661509433,81871.36154876156,Forecast_Prophet
Lincoln,2028,1,1278460.2249988979,1077735.6822105958,57887.540819027294,12259.324632070626,130577.6773372042,73106.97924961653,Forecast_Prophet
Lincoln,2028,2,1247989.8023538238,1052049.2657742435,56507.867208421805,11967.139708693223,127465.52966246511,71364.57028570653,Forecast_Prophet
Lincoln,2028,3,1390146.4791511127,1171886.6451882566,62944.594976630186,13330.29893367092,141984.94005255497,79493.60317824162,Forecast_Prophet
Lincoln,2028,4,1347164.1814338856,1135652.779599443,60998.394801647264,12918.135981046993,137594.87105174852,77035.71994818895,Forecast_Prophet
Lincoln,2028,5,1440621.025248438,1214436.4393146385,65230.037488174334,13814.306049546623,147140.24239607842,82379.92026657664,Forecast_Prophet
Lincoln,2028,6,1412131.5117704738,1190419.919564055,63940.05768112066,13541.116326857822,144230.41819844046,80750.78685285078,Forecast_Prophet
Lincoln,2028,7,1437299.5224500895,1211636.4287907714,65079.642798484194,13782.455718754114,146800.99514207983,82189.98472426707,Forecast_Prophet
Lincoln,2028,8,1462504.7224194966,1232884.2884058855,66220.91181378115,14024.151723681827,149375.3704761484,83631.30921376965,Forecast_Prophet
Lincoln,2028,9,1415087.3585202508,1192911.6838372715,64073.89579046243,13569.460333311521,144532.31855920522,80919.81285989858,Forecast_Prophet
Lincoln,2028,10,1470889.2947678287,1239952.441660228,66600.55778521883,14104.552499794649,150231.74282258717,84110.76938366811,Forecast_Prophet
Lincoln,2028,11,1377477.6430672416,1161206.8786748506,62370.96135737912,13208.815784468683,140690.98725054343,78769.1533137954,Forecast_Prophet
Lincoln,2028,12,1380529.728384877,1163779.7715874708,62509.15706339564,13238.082635311617,141002.71709869895,78943.68259020257,Forecast_Prophet
Lincoln,2029,1,1233285.48129326,1039653.5954359944,55842.06864154797,11826.138024127089,125963.67919159058,70523.7240289094,Forecast_Prophet
Lincoln,2029,2,1163518.3948375671,980840.2846681629,52683.07707805837,11157.132180402217,118837.90091094351,66534.18971091611,Forecast_Prophet
Lincoln,2029,3,1344235.0322895232,1133183.521276292,60865.7655361107,12890.047981471938,137295.69749564867,76868.22060677131,Forecast_Prophet
Lincoln,2029,4,1302172.7343472994,1097725.21097325,58961.22213189595,12486.707028690213,132999.59421346342,74462.94629105611,Forecast_Prophet
Lincoln,2029,5,1394576.730112634,1175621.3249608583,63145.19279606865,13372.781197629407,142437.43115807752,79746.94095033758,Forecast_Prophet
Lincoln,2029,6,1367651.4889402427,1152923.4790707864,61926.04184639378,13114.59148951438,139687.3765335483,78207.25828427527,Forecast_Prophet
Lincoln,2029,7,1390469.13104567,1172158.6391485673,62959.204367169914,13333.392885474177,142017.89464445852,79512.05358045125,Forecast_Prophet
Lincoln,2029,8,1416658.2400300596,1194235.92922445,64145.023906725095,13584.523724421151,144692.76317446338,81009.6415457627,Forecast_Prophet
Lincoln,2029,9,1370344.2221777018,1155193.4399471106,62047.966410138666,13140.412465607404,139962.4033548453,78361.23850913197,Forecast_Prophet
Lincoln,2029,10,1424721.9872785886,1201033.6284974758,64510.1432032632,13661.848066107863,145516.36751174193,81470.75577618225,Forecast_Prophet
Lincoln,2029,11,1333284.5466957216,1123952.3157751719,60369.93729726197,12785.042322986677,136177.25130030117,76242.03223780586,Forecast_Prophet
Lincoln,2029,12,1336133.114756918,1126353.6446415114,60498.91792309132,12812.357619869525,136468.19457244585,76404.9236614645,Forecast_Prophet
Lincoln,2030,1,1186840.3304419906,1000500.5616854841,53739.073559514,11380.769313597442,121219.92588339513,67867.82233315507,Forecast_Prophet
Lincoln,2030,2,1120923.9609902692,944933.3864141862,50754.43903380405,10748.688505861046,114487.4470364179,64098.4859396656,Forecast_Prophet
Lincoln,2030,3,1298321.8752541242,1094478.9556962166,58786.85866044364,12449.780630189518,132606.2802672747,74242.74024137772,Forecast_Prophet
Lincoln,2030,4,1257190.5769994287,1059805.473551107,56924.47009324335,12055.367156869872,128405.26619820847,71890.70385477961,Forecast_Prophet
Lincoln,2030,5,1348528.3804562173,1136802.792666142,61060.16451887923,12931.217466376373,137734.20580481985,77113.72978194662,Forecast_Prophet
Lincoln,2030,6,1323151.3193842825,1115410.0549868096,59911.113785861824,12687.873462546295,135142.27714906484,75662.57765306141,Forecast_Prophet
Lincoln,2030,7,1343647.990417024,1132688.647864845,60839.18480274701,12884.418759109863,137235.73899032193,76834.65142944983,Forecast_Prophet
Lincoln,2030,8,1370815.1848176762,1155590.4591364162,62069.29117919496,13144.928588815717,140010.5059132495,78388.16985613418,Forecast_Prophet
Lincoln,2030,9,1325600.8567564583,1117475.0029447365,60022.02665733555,12711.362401237306,135392.46475314902,75802.65105881714,Forecast_Prophet
Lincoln,2030,10,1378552.197041763,1162112.7223907188,62419.6162047072,13219.119825025244,140800.7386213118,78830.60019621051,Forecast_Prophet
Lincoln,2030,11,1289106.902712785,1086710.7791630742,58369.61290754315,12361.417036507914,131665.09360565976,73715.7947852795,Forecast_Prophet
Lincoln,2030,12,1255368.2033354351,1058269.2215147885,56841.95463613395,12037.892174143793,128219.13501036882,71786.49393801138,Forecast_Prophet
