Facility_Name,Year,Month,Forecast_TOTAL,Forecast_Autos,Forecast_Small_T,Forecast_Large_T,Forecast_Buses,Forecast_VIOLATION,Source
Outerbridge,2013,1,1125764.0,1053973.0,29207.0,39733.0,2851.0,36277.0,Actual
Outerbridge,2013,2,1000685.0,937802.0,25669.0,34524.0,2690.0,31931.0,Actual
Outerbridge,2013,3,1192967.0,1121310.0,28614.0,39774.0,3269.0,36316.0,Actual
Outerbridge,2013,4,1193917.0,1115188.0,31010.0,44193.0,3526.0,37385.0,Actual
Outerbridge,2013,5,1264417.0,1183467.0,32129.0,44836.0,3985.0,40012.0,Actual
Outerbridge,2013,6,1278407.0,1203344.0,31031.0,40011.0,4021.0,42169.0,Actual
Outerbridge,2013,7,1188235.0,1126688.0,27399.0,30353.0,3795.0,39355.0,Actual
Outerbridge,2013,8,1200648.0,1144093.0,26495.0,26807.0,3253.0,39386.0,Actual
Outerbridge,2013,9,1062572.0,1013425.0,23777.0,22866.0,2504.0,34558.0,Actual
Outerbridge,2013,10,1117240.0,1055048.0,28220.0,31036.0,2936.0,35674.0,Actual
Outerbridge,2013,11,1112196.0,1048288.0,26738.0,34214.0,2956.0,35432.0,Actual
Outerbridge,2013,12,1138312.0,1074183.0,26862.0,34437.0,2830.0,37606.0,Actual
Outerbridge,2014,1,998439.0,936982.0,25282.0,33131.0,3044.0,34816.0,Actual
Outerbridge,2014,2,899500.0,845583.0,22402.0,28680.0,2835.0,31759.0,Actual
Outerbridge,2014,3,1123228.0,1057894.0,26211.0,35685.0,3438.0,37013.0,Actual
Outerbridge,2014,4,1158505.0,1088412.0,28070.0,38467.0,3556.0,38222.0,Actual
Outerbridge,2014,5,1239181.0,1165785.0,29699.0,39448.0,4249.0,42941.0,Actual
Outerbridge,2014,6,1246114.0,1175398.0,28948.0,37588.0,4180.0,44788.0,Actual
Outerbridge,2014,7,1279123.0,1205280.0,29708.0,39677.0,4458.0,46157.0,Actual
Outerbridge,2014,8,1324550.0,1251075.0,29470.0,39463.0,4542.0,48188.0,Actual
Outerbridge,2014,9,1182443.0,1108475.0,29790.0,40664.0,3514.0,45032.0,Actual
Outerbridge,2014,10,1190251.0,1115310.0,28756.0,42079.0,4106.0,37625.0,Actual
Outerbridge,2014,11,1130360.0,1063097.0,27162.0,36678.0,3423.0,39819.0,Actual
Outerbridge,2014,12,1193810.0,1121397.0,29603.0,39449.0,3361.0,42818.0,Actual
Outerbridge,2015,1,1018022.0,954304.0,26294.0,34492.0,2932.0,38378.0,Actual
Outerbridge,2015,2,943618.0,885600.0,24366.0,30786.0,2866.0,34789.0,Actual
Outerbridge,2015,3,1109119.0,1043156.0,27318.0,35046.0,3599.0,41033.0,Actual
Outerbridge,2015,4,1185048.0,1114199.0,28559.0,38610.0,3680.0,42234.0,Actual
Outerbridge,2015,5,1292734.0,1217858.0,30062.0,40283.0,4531.0,48039.0,Actual
Outerbridge,2015,6,1282536.0,1205559.0,31920.0,40507.0,4550.0,51506.0,Actual
Outerbridge,2015,7,1321375.0,1244251.0,31624.0,40918.0,4582.0,53781.0,Actual
Outerbridge,2015,8,1372381.0,1295679.0,31332.0,40708.0,4662.0,54391.0,Actual
Outerbridge,2015,9,1218191.0,1143937.0,30519.0,40032.0,3703.0,48519.0,Actual
Outerbridge,2015,10,1235862.0,1160821.0,31176.0,39722.0,4143.0,47365.0,Actual
Outerbridge,2015,11,1191523.0,1121021.0,29064.0,37772.0,3666.0,45172.0,Actual
Outerbridge,2015,12,1258111.0,1182936.0,30877.0,40573.0,3725.0,48809.0,Actual
Outerbridge,2016,1,1079561.0,1015253.0,26753.0,34200.0,3355.0,43508.0,Actual
Outerbridge,2016,2,1082731.0,1016839.0,27423.0,35061.0,3408.0,43301.0,Actual
Outerbridge,2016,3,1238581.0,1163743.0,30850.0,40223.0,3765.0,47891.0,Actual
Outerbridge,2016,4,1239590.0,1166072.0,29845.0,39686.0,3987.0,48055.0,Actual
Outerbridge,2016,5,1309716.0,1236478.0,29498.0,39238.0,4502.0,49785.0,Actual
Outerbridge,2016,6,1347362.0,1268158.0,33802.0,40767.0,4635.0,56805.0,Actual
Outerbridge,2016,7,1394180.0,1320259.0,31274.0,37621.0,5026.0,60544.0,Actual
Outerbridge,2016,8,1412730.0,1334059.0,33548.0,40172.0,4951.0,66445.0,Actual
Outerbridge,2016,9,1284812.0,1211197.0,32296.0,37564.0,3755.0,60858.0,Actual
Outerbridge,2016,10,1306641.0,1231203.0,32493.0,38907.0,4038.0,71824.0,Actual
Outerbridge,2016,11,1241019.0,1163075.0,32719.0,41470.0,3755.0,70912.0,Actual
Outerbridge,2016,12,1294487.0,1219486.0,32668.0,38677.0,3656.0,92861.0,Actual
Outerbridge,2017,1,1159900.0,1091166.0,29725.0,35595.0,3414.0,82871.0,Actual
Outerbridge,2017,2,1086744.0,1021070.0,27987.0,34589.0,3098.0,77384.0,Actual
Outerbridge,2017,3,1218530.0,1143881.0,31045.0,40039.0,3565.0,86058.0,Actual
Outerbridge,2017,4,1300541.0,1229021.0,29079.0,38566.0,3875.0,96317.0,Actual
Outerbridge,2017,5,1331365.0,1253855.0,32143.0,41196.0,4171.0,97979.0,Actual
Outerbridge,2017,6,1403174.0,1321880.0,34844.0,41927.0,4523.0,115666.0,Actual
Outerbridge,2017,7,1431282.0,1356559.0,31957.0,38200.0,4566.0,126784.0,Actual
Outerbridge,2017,8,1439517.0,1356996.0,35729.0,42194.0,4598.0,87998.0,Actual
Outerbridge,2017,9,1316205.0,1240679.0,33323.0,38567.0,3636.0,84044.0,Actual
Outerbridge,2017,10,1334252.0,1254348.0,34392.0,41490.0,4022.0,85666.0,Actual
Outerbridge,2017,11,1264972.0,1189905.0,32299.0,38999.0,3769.0,85437.0,Actual
